Agency,Recipient,Description,Date,SAVED
USAID,YAYASAN KEANEKARAGAMAN HAYATI INDONESIA,COOPERATIVE AGREEMENT AWARD FOR EFFECTIVE MARINE CONSERVATION OR KONSE...,3/1/2025,6999081.0
USAID,PATHFINDER INTERNATIONAL,THE IMPROVED FAMILY PLANNING INITIATIVE ACTIVITY WHICH IS TO RUN FROM ...,3/1/2025,6998757.0
USAID,"CREATIVE ASSOCIATES INTERNATIONAL, INC",SUSTAINABLE MARKET SYSTEMS DEVELOPMENT ACTIVITY,3/1/2025,6984047.0
DEPARTMENT OF STATE,SOLIDARITY CENTER,No description available,2/26/2025,6948080.9
USAID,REACH OUT MBUYA COMMUNITY HEALTH INITIATIVE LIMITED,THE PURPOSE OF THIS ACTIVITY IS TO PREVENT NEW HIV INFECTIONS AND PROV...,3/10/2025,6942852.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SC ST DEPARTMENT OF MENTAL HEALTH,No description available,3/23/2025,6931202.0
USAID,CONCERN WORLDWIDE US INC,"THIS IS A THREE-YEAR, INCREMENTALLY-FUNDED AWARD. THE FIRST TRANCHE OF...",3/1/2025,6910000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,PHILADELPHIA CITY DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,6909620.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,Duke University,No description available,3/23/2025,6906037.0
DEPARTMENT OF STATE,FREEDOM HOUSE,No description available,2/26/2025,6903606.45
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"PUBLIC HEALTH AND ENVIRONMENT, COLORADO DEPARTMENT OF",No description available,3/23/2025,6901403.0
USAID,LAND O'LAKES VENTURE37,CDP FUNDS THREE CATEGORIES OF COOPERATIVE DEVELOPMENT; 1) COOPERATIVE ...,3/1/2025,6868003.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"NEW YORK, CITY OF",No description available,3/23/2025,6847165.0
USAID,"EDUCATION DEVELOPMENT CENTER, INC.",THE GOAL OF THE YOUTH EMPLOYMENT ACTIVITY IS TO INCREASE YOUTH EMPLOYM...,3/1/2025,6841020.0
USAID,"PACT, INC.",FOP ACTIVITY,3/1/2025,6839208.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"UNIVERSITY OF CALIFORNIA-LOS ANGELES, BOARD OF REGENTS",No description available,3/23/2025,6830669.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,AR ST DEPARTMENT OF HUMAN SERVICES,No description available,3/23/2025,6826024.0
DEPARTMENT OF STATE,INTERNATIONAL INSTITUTE FOR ENVIRONMENT AND DEVELOPMENT,No description available,2/26/2025,6822507.46
DEPARTMENT OF STATE,UNIVERSITY OF SOUTH CAROLINA,TO ENCOURAGE INTERAGENCY COORDINATION ON RULE OF LAW ASSISTANCE OVERSE...,2/27/2025,6818214.0
DEPARTMENT OF STATE,DELOITTE CONSEIL TUNISIE,No description available,2/26/2025,6800000.0
USAID,CILSS,THE PRASAR ACTIVITY COMPRISES EIGHT (8) SERVICES INCLUDING: 1) SUPPORT...,3/1/2025,6794886.0
USAID,FREEDOM HOUSE,PROTECTING HUMAN RIGHTS IN ETHIOPIA ACTIVITY AWARD TO FREEDOM HOUSE. A...,3/1/2025,6750000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"UNIVERSITY OF PITTSBURGH, THE",No description available,3/23/2025,6748961.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,STATE OF NORTH CAROLINA DEPARTMENT OF HEALTH & HUMAN SE,No description available,3/23/2025,6741695.0
USAID,CENTRO DE TRABALHO INDIGENISTA,ALLIANCE OF INDIGENOUS PEOPLES FOR THE FORESTS OF THE EASTERN AMAZON: ...,3/1/2025,6730118.0
USAID,YOUTH ALIVE UGANDA,THE PURPOSE OF THIS GRANT IS TO PREVENT NEW HIV INFECTIONS AND CONTINU...,3/10/2025,6720607.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,6715902.0
DEPARTMENT OF EDUCATION,Cal State LA,LOS ANGELES URBAN TEACHER RESIDENCY - THE UNDERGRADUATE COMMUNITY TEAC...,2/7/2025,6682514.0
USAID,"WORLD WILDLIFE FUND, INC.",USAID BIODIVERSITY CONSERVATION ACTIVITY,3/1/2025,6677905.0
USAID,OUT LGBT WELL-BEING,ENGAGE MEN’S HEALTH: COMPREHENSIVE HEALTH SERVICES FOR MSM IN SOUTH AF...,3/10/2025,6676987.0
USAID,COOPERATIVE HOUSING FOUNDATION,THE PURPOSE OF THIS ACTION IS TO TRANSFER FUNDS TO THE RECIPIENT ORGAN...,2/11/2025,6671996.0
USAID,JHPIEGO CORP,HEALTH WORKFORCE IMPROVEMENT PROGRAM (HWIP),3/1/2025,6661214.0
USAID,PRAGUE CIVIL SOCIETY CENTRE,No description available,2/10/2025,6654571.0
USAID,MERCY CORPS,USAID NAFOORE ACTIVITY SEEKS TO COUNTER VIOLENT EXTREMISM THROUGH THE ...,3/1/2025,6609775.0
USAID,CRS - USCCB,THIS AWARD WILL PROVIDE FINANCIAL SUPPORT TO CRS FOR A PROGRAM ENTITLE...,3/10/2025,6603312.0
USAID,POPULATION SERVICES KENYA,PRIVATE SECTOR ENGAGEMENT PROGRAM,3/1/2025,6592150.0
USAID,FAMILY HEALTH INTERNATIONAL,THE OBJECTIVE OF THIS PROGRAM IS TO SUPPORT FHI 360 TO IMPLEMENT A PRO...,3/10/2025,6582722.0
USAID,"UNIVERSITY OF CALIFORNIA, DAVIS",FEED THE FUTURE INNOVATION LAB FOR HORTICULTURE,3/1/2025,6546891.0
DEPARTMENT OF EDUCATION,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",CULTIVATING EXCELLENCE: TEACHING AND LEADING IN THE MIDDLE,2/12/2025,6532804.34
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NM ST DEPARTMENT OF HUMAN SERVICES,No description available,3/23/2025,6516502.0
USAID,LAND O'LAKES VENTURE37,THE PRIMARY GOAL OF THE ACTIVITY IS TO DEVELOP VIABLE LOCAL SYSTEMS AB...,3/1/2025,6500000.0
USAID,FUNDACION CHARLES DARWIN,THE PURPOSE OF THIS ACTIVITY IS TO DEVELOP AN INNOVATIVE GOVERNANCE FR...,3/1/2025,6482750.0
USAID,EAST-WEST MANAGEMENT INSTITUTE INC,THE CIVIL SOCIETY AND MEDIA ACTIVITY AIMS TO STRENGTHEN CIVIL SOCIETY ...,3/1/2025,6473487.0
USAID,"EDUCATION DEVELOPMENT CENTER, INC.",USAID FOUNDATIONAL LITERACY FOR IMPROVED EDUCATION RESILIENCE (FLIER),3/1/2025,6472212.0
USAID,ENVIRONNEMENT DEVELOPPEMENT- SANTE/ENDA SANTE,THE AWARD WILL STRENGTHEN THE FINANCIAL AND MANAGEMENT CAPACITY OF CBO...,3/1/2025,6460008.31
DEPARTMENT OF HEALTH AND HUMAN SERVICES,KS ST DEPARTMENT OF HEALTH & ENVIRONMENT,No description available,3/23/2025,6459516.0
USAID,"WORLD WILDLIFE FUND, INC.",THIS ACTIVITY IS TO HELP VIETNAM CONTROL AND STOP THE CURRENT INCREASI...,3/1/2025,6447965.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH, PENNSYLVANIA DEPARTMENT OF",No description available,3/23/2025,6443818.0
DEPARTMENT OF EDUCATION,CENTER FOR CIVIC EDUCATION,WE THE PEOPLE: CIVICS THAT EMPOWERS ALL STUDENTS,2/10/2025,6440114.0
DEPARTMENT OF AGRICULTURE,Massachusetts Department of Agricultural Resources,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALL...,3/17/2025,6438862.0
USAID,INSTITUTE OF INTERNATIONAL EDUCATION INC,REACCIÓN-SUPPORT FOR HUMAN RIGHTS DEFENDERS,3/1/2025,6425000.0
DEPARTMENT OF EDUCATION,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES URBAN TEACHER RESIDENCY: THE COMMUNITY COLLABORATIVE,2/12/2025,6423746.91
DEPARTMENT OF HEALTH AND HUMAN SERVICES,DIVISION OF CHILD AND FAMILY SERVICES,No description available,3/23/2025,6408218.0
DEPARTMENT OF EDUCATION,"LEAD PUBLIC SCHOOLS, INC.",RISE - RIGOROUS INSTRUCTIONAL SUPPORTS FOR EDUCATORS,2/18/2025,6407732.0
USAID,ACCESO OFERTA LOCAL PRODUCTOS DE EL SALVADOR S.A. DE C.V.,THIS PROJECT WILL SCALE-UP A PROVEN SEED-TO-MARKET MODEL TO STRENGTHEN...,3/1/2025,6407402.0
DEPARTMENT OF AGRICULTURE,Louisiana Department of Agriculture and Forestry,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALL...,3/17/2025,6389464.0
USAID,DELOITTE CONSULTING LIMITED,THE GOAL OF THE KIZAZI HODARI (OVC-NEXTGEN) ACTIVITY IS TO SUPPORT THE...,3/10/2025,6386832.0
DEPARTMENT OF EDUCATION,"NATIONAL BOARD FOR PROFESSIONAL TEACHING STANDARDS, INC.","FROM THE MARGINS TO THE CENTER: SUPPORTING TEACHER DIVERSITY, QUALITY,...",2/10/2025,6380216.0
DEPARTMENT OF EDUCATION,GEORGIA STATE UNIVERSITY RESEARCH FOUNDATION INC,"CROSS-INSTITUTIONAL COLLABORATION AND REIMAGINING TOWARD EQUITY, ACCES...",2/10/2025,6374392.0
USAID,FAMILY HEALTH INTERNATIONAL,THE PURPOSE OF THIS ACTIVITY IS TO PROVIDE DIRECT HIV SERVICES TO ATTA...,3/10/2025,6373025.0
USAID,INSTITUTE OF HUMAN VIROLOGY NIG LTDGTE,FIVE YEAR COOPERATIVE AGREEMENT TO IMPLEMENT COMPREHENSIVE TB CASE FIN...,3/10/2025,6372326.94
ENVIRONMENTAL PROTECTION AGENCY,UNIVERSITY OF MASSACHUSETTS LOWELL,No description available,3/4/2025,6371426.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,AL ST DEPARTMENT OF MENTAL HEALTH & MENTAL RETARDATION,No description available,3/23/2025,6361543.0
USAID,CARE,ENDING VIOLENCE'S AGAINST WOMEN AND GIRLS,3/1/2025,6355986.0
USAID,CARIBBEAN COMMUNITY CLIMATE CHANGE CENTRE,THE PURPOSE OF THE ACTIVITY IS TO BUILD CAPACITY AND INCREASE THE FLOW...,3/1/2025,6350000.0
USAID,INTERNATIONAL ORGANIZATION FOR MIGRATION,"THE PURPOSE OF WLH IS TO PARTNER WITH GOC, CONFLICT-AFFECTED COMMUNITI...",2/11/2025,6325000.0
DEPARTMENT OF AGRICULTURE,Nebraska Department of Education,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE AND TERRITORY GOVERNME...,-,6323230.99
USAID,UNIVERSITY OF RHODE ISLAND,THIS FIVE-YEAR ACTIVITY IN THE PACIFIC REGION SEEKS TO ADDRESS THE DRI...,3/1/2025,6308775.0
USAID,UNIVERSITY OF SOUTH AFRICA,No description available,3/1/2025,6302629.0
USAID,INTERNATIONAL LABOR ORGANIZATION,“USAID’S PROSHAR: EXPANDING WORKERS' SAFETY IN BANGLADESH” ACTIVITY,3/1/2025,6285403.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ROCKEFELLER UNIVERSITY,No description available,3/23/2025,6267829.0
USAID,FAMILY HEALTH INTERNATIONAL,REDUCE AIR POLLUTION IN THE KATHMANDU VALLEY,3/1/2025,6237238.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,STATE OF OHIO - DEPARTMENT OF HEALTH,No description available,3/23/2025,6235144.0
DEPARTMENT OF AGRICULTURE,Missouri Department of Social Services,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALL...,3/17/2025,6232961.0
DEPARTMENT OF AGRICULTURE,Utah State Board of Education,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE AND TERRITORY GOVERNME...,-,6232611.43
USAID,INTERNATIONAL FOOD POLICY RESEARCH INSTITUTE,IMPROVE NON-GOVERNMENT ENTITIES ABILITY TO RESEARCH AND DEVELOP AGRICU...,3/1/2025,6200000.0
USAID,WINROCK INTERNATIONAL INSTITUTE FOR AGRICULTURAL DEVELOPMENT,THE USAID SUPPORTING VICTIMS OF VIOLENCE ACTIVITY WILL STRENGTHEN AWAR...,3/1/2025,6196101.31
ENVIRONMENTAL PROTECTION AGENCY,Hemp Building Institute,No description available,3/4/2025,6186200.0
DEPARTMENT OF EDUCATION,MARICOPA COUNTY SUPERINTENDENT OF SCHOOLS,LEARNING ACCELERATION PARTNERSHIP,2/18/2025,6170903.0
USAID,DAI GLOBAL LLC,WESTERN KENYA WATER PROJECT,3/1/2025,6158000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH AND ENVIRONMENT, KANSAS DEPARTMENT OF",No description available,3/23/2025,6115490.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"OR ST DEPARTMENT OF HUMAN RESOURCES, HEALTH DIVISION",No description available,3/23/2025,6109603.0
USAID,DUHAMIC-ADRI,"THRIVE ORPHANS AND VULNERABLE CHILDREN (OVC) - DETERMINED, RESILIENT, ...",3/10/2025,6108809.0
USAID,FAMILY HEALTH INTERNATIONAL,FOUNDATIONAL SKILLS FOR A BETTER FUTURE OR USAID LOVA,3/1/2025,6104000.0
USAID,FUNDACION COHONDUCAFE,BUILDING RESILIENCE THROUGH MARKETS AND SUSTAINABLE COFFEE PRODUCTION ...,3/1/2025,6099179.0
USAID,KEYSTONE HUMAN SERVICES INTERNATIONAL,THIS ACTIVITY WILL SUPPORT THE IMPLEMENTATION OF THE ADVANCING PROTECT...,3/1/2025,6086060.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",No description available,3/23/2025,6081140.0
DEPARTMENT OF EDUCATION,MCREL INTERNATIONAL,REGION 13 COMPREHENSIVE CENTER (R13CC),2/18/2025,6064479.05
DEPARTMENT OF HEALTH AND HUMAN SERVICES,KS ST DEPARTMENT OF HEALTH & ENVIRONMENT,No description available,3/23/2025,6058736.0
USAID,ARK GROUP DMCC,THE YEMEN COMMUNITY RESILIENCE AWARD WILL STRENGTHEN THE RESILIENCE OF...,3/1/2025,6050000.0
USAID,"CREATIVE ASSOCIATES INTERNATIONAL, INC",CDR,3/1/2025,6035000.0
DEPARTMENT OF EDUCATION,FAMILY HEALTH INTERNATIONAL,"COMPREHENSIVE CENTERS (CC) PROGRAM REGION 2 (ISLANDS): PUERTO RICO, VI...",2/18/2025,6029331.64
DEPARTMENT OF EDUCATION,"CHILD TRENDS, INCORPORATED","COMPREHENSIVE CENTERS PROGRAM, ABSOLUTE PRIORITY 2 - REGION 12 (PACIFI...",2/18/2025,6018538.17
USAID,"PACT, INC.",No description available,3/1/2025,6000000.0
USAID,AFRICAN YOUTH DEVELOPMENT LINK,THE CIVIC ENGAGEMENT ACTIVITY IS TO ENHANCE CITIZEN PARTICIPATION IN S...,3/1/2025,6000000.0
ENVIRONMENTAL PROTECTION AGENCY,AMERICAN WOOD COUNCIL,No description available,3/4/2025,6000000.0
ENVIRONMENTAL PROTECTION AGENCY,COLLABORATIVE COMPOSITE SOLUTIONS CORP,No description available,3/4/2025,6000000.0
DEPARTMENT OF EDUCATION,TEACHERS COLLEGE COLUMBIA UNIVERSITY,EXCELL IN SCIENCE FOR HIGH-NEED PRE-KINDERGARTEN CLASSROOMS: THE EARLY...,3/10/2025,6000000.0
USAID,IVCC,ACCELERATE TO ELIMINATE MALARIA,3/1/2025,5999808.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,KY ST CABINET FOR HEALTH AND FAMILY SERVICES,No description available,3/23/2025,5999019.0
DEPARTMENT OF STATE,NATIONAL ENDOWMENT FOR DEMOC,No description available,2/26/2025,5997748.0
ENVIRONMENTAL PROTECTION AGENCY,INSTITUTE FOR SUSTAINABLE COMMUNITIES,DESCRIPTION:THE AGREEMENT PROVIDES FUNDING TO THE INSTITUTE FOR SUSTAI...,2/22/2025,5993225.78
USAID,TOTAL FAMILY HEALTH ORGANISATION,SAID/GHANA ENVISIONS PROVIDING ASSISTANCE TO A FIVE (5) YEAR ACTIVITY ...,3/1/2025,5992735.0
USAID,THE JOHNS HOPKINS UNIVERSITY,"UNDER THE GOAL OF THIS APS, TO IMPROVE HEALTH AND DEVELOPMENT OUTCOMES...",3/1/2025,5987293.0
USAID,IPE GLOBAL LIMITED,SAMVEG - SYSTEMS APPROACH FOR MNCH FOCUSING ON VULNERABLE GEOGRAPHIES,3/10/2025,5979643.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,TN ST DEPARTMENT OF HEALTH,No description available,3/23/2025,5971607.0
USAID,GERMAN MARSHALL FUND OF THE UNITED STATES - A MEMORIAL TO THE MARSHALL PLAN (THE),BUILDING RESILIENCE IN CIVIL SOCIETY,3/1/2025,5971095.0
USAID,INTERNATIONAL FOUNDATION FOR ELECTORAL SYSTEMS,CITIZEN ENGAGEMENT ACTIVITY - IFES,3/1/2025,5970133.0
USAID,"PACT, INC.",KHUTLO ACTIVITY,3/1/2025,5958129.0
USAID,FUNDACION POMA,HOLISTIC INTERVENTION THAT BUILDS THE CAPACITY OF YOUTH THROUGH EDUCAT...,3/1/2025,5933629.0
USAID,UNFPA,THE PURPOSE OF THIS AGREEMENT IS TO END VIOLENCE AGAINST WOMEN AND GIR...,3/1/2025,5929003.0
USAID,MULTI COMMUNITY BASED DEVELOPMENT INITIATIVE LTD,USAID IMPROVING CARE AND RESILIENCE FOR CHILDREN AND YOUTH ACTIVITY,3/10/2025,5928161.0
USAID,PALLADIUM INTERNATIONAL LLC,THE ACTIVITY WILL SUPPORT ECONOMIC GROWTH IN NORTH MACEDONIA DRIVEN BY...,3/1/2025,5927220.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,PA ST DEPARTMENT OF PUBLIC WELFARE,No description available,3/23/2025,5897602.0
DEPARTMENT OF AGRICULTURE,Kentucky Department of Agriculture,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALL...,3/17/2025,5878902.0
DEPARTMENT OF STATE,INTERNATIONAL REPUBLICAN INSTITUTE,No description available,2/26/2025,5872136.48
USAID,MERCY CORPS,EDU-NEW AWARD- THE INCENTIVIZE LEARNING ACTIVITY: THE PURPOSE OF THE I...,3/1/2025,5866804.0
DEPARTMENT OF STATE,INTERNATIONAL CATHOLIC MIGRATION COMMISSION (ICMC),No description available,2/26/2025,5848408.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,Washington State Department of Health,No description available,3/23/2025,5842879.0
DEPARTMENT OF STATE,THE COLOMBO PLAN SECRETARIAT,STRENGTHENING GLOBAL DRUG DEMAND REDUCTION EFFORTS: TRAINING AND PROFE...,2/26/2025,5836318.0
USAID,PATH,THE EMP ACTIVITY WILL INCREASE ACCESS TO QUALITY MALARIA CONTROL INTER...,3/10/2025,5835677.0
USAID,ASIAN DISASTER PREPAREDNESS CENTER,NEW AWARD WITH ADPC: SERVIR-SOUTHEAST ASIA,3/1/2025,5830453.0
USAID,CONSORTIUM FOR ELECTIONS & POLITICAL PROCESS STRENGTHENING,IDPG WILL CONTRIBUTE TO THE USAID PAKISTAN COUNTRY DEVELOPMENT STRATEG...,2/10/2025,5826469.0
USAID,AMREF HEALTH AFRICA IN KENYA,USAID HEALTH GOVERNANCE AND STRATEGIC PARTNERSHIPS WILL CONTRIBUTE TO ...,3/1/2025,5826399.0
HOUSING AND URBAN DEVELOPMENT,ICF Incorporated,HOME INVESTMENT PARTNERSHIPS PROGRAM,2/19/2025,5825933.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,GA Dept of Behavioral Health and DE,No description available,3/23/2025,5817948.0
USAID,CONSORTIUM FOR ELECTIONS & POLITICAL PROCESS STRENGTHENING,USAID/BURMA ADVANCING DEMOCRACY ASSOCIATE COOPERATIVE AGREEMENT,2/12/2025,5800000.0
USAID,CRS - USCCB,THIS IS A GDA TO ADDRESS THE SUBSTANTIAL HARM OF INSTITUTIONAL CARE TO...,3/1/2025,5782494.0
USAID,INTERNEWS NETWORK,MEDIA OUTLETS FOR TRUSTWORTHY INFORMATION AND OBJECTIVE NEWS (MOTION),3/1/2025,5780419.0
USAID,GERRY ROXAS FOUNDATION INC.,INSPIRE PROJECT - SAVE FORESTS AND BIODIVERSITY (NATURAL RESOURCE SECU...,3/1/2025,5766819.0
USAID,UNICEF,THE USAID INCLUSIVE PRE-PRIMARY EDUCATION ACTIVITY AIMS TO INCREASE CH...,3/1/2025,5750000.0
DEPARTMENT OF EDUCATION,ARIZONA STATE UNIVERSITY,EARLY SCHOOL SUCCESS CONTENT CENTER,2/18/2025,5749999.0
USAID,INSTITUT PANOS,INTEGRATED SOCIAL AND BEHAVIOR CHANGE (SBC) ACTIVITY.,3/1/2025,5735000.0
USAID,ORGANIZATION FOR PUBLIC HEALTH INTERVENTIONS AND DEVELOPMENT,THE GOAL OF THIS PROGRAM IS TO CONTRIBUTE TO THE ACHIEVEMENT AND SUSTA...,3/10/2025,5732186.2
DEPARTMENT OF HEALTH AND HUMAN SERVICES,WY ST DEPARTMENT OF HEALTH,No description available,3/23/2025,5724055.0
USAID,INDIANA UNIVERSITY,PARTNERSHIP FOR HIGHER EDUCATION REFORM AIMS TO SUPPORT THREE VIETNAM ...,3/1/2025,5719819.0
DEPARTMENT OF EDUCATION,LOYOLA MARYMOUNT UNIVERSITY,CENTER ON ENGLISH LEARNERS AND MULTILINGUALISM,2/18/2025,5693987.09
DEPARTMENT OF STATE,INTERNATIONAL RESEARCH & EXCHANGE BO,No description available,2/26/2025,5690897.06
DEPARTMENT OF EDUCATION,UNIVERSITY CORPORATION AT MONTEREY BAY,"CSU MONTEREY BAY TEACHER QUALITY PROJECT, THE ROOTS: RESIDENTS OFFERIN...",2/12/2025,5683246.0
USAID,GENEX COOPERATIVE,CDP FUNDS THREE CATEGORIES OF COOPERATIVE DEVELOPMENT; 1) COOPERATIVE ...,3/1/2025,5681598.0
DEPARTMENT OF AGRICULTURE,South Carolina Department of Agriculture,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALL...,3/17/2025,5681359.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,No description available,3/23/2025,5664945.0
USAID,"CHEMONICS INTERNATIONAL, INC.",THIS ACTIVITY FOCUSES ON PROVIDING TECHNICAL ASSISTANCE AT THE CENTRAL...,3/1/2025,5657310.0
DEPARTMENT OF AGRICULTURE,Connecticut Department of Education,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE AND TERRITORY GOVERNME...,-,5651949.66
USAID,TONY BLAIR INSTITUTE,THE GOAL OF THE PROGRAM IS TO CONTRIBUTE TO ACHIEVING POWER AFRICA’S G...,3/1/2025,5650000.0
USAID,ACTIONAID INTERNATIONAL UGANDA,THE PURPOSE OF THIS COOPERATIVE AGREEMENT IS TO REDUCE LEAKAGES AND LO...,3/1/2025,5639992.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,BENAROYA RESEARCH INSTITUTE AT VIRGINIA MASON,No description available,3/23/2025,5636408.0
DEPARTMENT OF AGRICULTURE,State of Alabama Department of Agriculture and Industries,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALL...,3/17/2025,5633744.0
USAID,EAST-WEST MANAGEMENT INSTITUTE INC,THE GOAL OF THE PROGRAM IS TO STRENGTHEN A CULTURE OF POLITICAL AND CI...,3/1/2025,5627478.0
USAID,WORLD COUNCIL OF CREDIT UNIONS INC,CDP FUNDS THREE CATEGORIES OF COOPERATIVE DEVELOPMENT; 1) COOPERATIVE ...,3/1/2025,5609680.0
USAID,CONSORTIUM FOR ELECTIONS & POLITICAL PROCESS STRENGTHENING,THE GOAL OF THIS ACTIVITY IS “IMPROVED DEMOCRATIC ELECTIONS AND POLITI...,2/12/2025,5600000.0
DEPARTMENT OF EDUCATION,AMERICAN INSTITUTES FOR RESEARCH IN THE BEHAVIORAL SCIENCES,COMPREHENSIVE CENTERS: FISCAL EQUITY CONTENT CENTER,2/18/2025,5571247.18
USAID,BEZA POSTERITY DEVELOPMENT ORGANIZATION,USAID TB LOCAL ORGANIZATIONS NETWORK FOR KEY AFFECTED AND VULNERABLE P...,3/10/2025,5555000.0
USAID,"PACT, INC.",THE CIVIL SOCIETY AND MEDIA IN ADVANCING PUBLIC INTEREST,3/1/2025,5554739.0
USAID,"Asociacion Tula Salud, ONG","DELIVER CULTURALLY SENSITIVE PRIMARY CARE, ULTIMATELY IMPROVING PRIMAR...",3/1/2025,5549400.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"Riverside, County of",No description available,3/23/2025,5544903.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,WEST VIRGINIA STATE HEALTH DEPARTMENT,No description available,3/23/2025,5543996.0
USAID,AMERICAN BAR ASSOCIATION,RECONCILIATION AND TRANSITIONAL JUSTICE ACTIVITY (LRJA),3/1/2025,5537500.0
USAID,FUNDACION CRISALIDA INTERNACIONAL,THIS ACTIVITY AIMS TO SIGNIFICANTLY MITIGATE THE MAIN DRIVERS OF IRREG...,3/1/2025,5535000.0
DEPARTMENT OF STATE,INTERNATIONAL ORGANIZATION FOR MIGRATION,No description available,2/26/2025,5524716.0
USAID,COOPERATIVE LEAGUE OF THE UNITED STATES OF AMERICA,CDP FUNDS THREE CATEGORIES OF COOPERATIVE DEVELOPMENT; 1) COOPERATIVE ...,3/1/2025,5521411.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH AND WELFARE, IDAHO DEPARTMENT OF",No description available,3/23/2025,5521196.0
USAID,JSI RESEARCH & TRAINING INSTITUTE INC,No description available,3/10/2025,5504386.0
USAID,DEMOCRACY WORKS FOUNDATION,POLITICAL PARTIES FOR RESILIENT AND INCLUSIVE DEMOCRACIES IN SOUTHERN ...,2/11/2025,5500000.0
DEPARTMENT OF AGRICULTURE,"Wisconsin Department of Agriculture, Trade and Consumer Protections",THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALL...,3/17/2025,5489945.0
USAID,FAMILY HEALTH INTERNATIONAL,STRENGTHENING TOGETHER ACTIVITY’S PURPOSE IS TO ENHANCE USAID/COLOMBIA...,3/1/2025,5487032.0
DEPARTMENT OF AGRICULTURE,Colorado Department of Human Services,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALL...,3/17/2025,5482139.0
USAID,CONSORTIUM FOR ELECTIONS & POLITICAL PROCESS STRENGTHENING,THIS DEMOCRATIC ELECTIONS AND POLITICAL PROCESSES (DEPP) LWA WILL PRIM...,2/10/2025,5479572.0
DEPARTMENT OF EDUCATION,CENTER FOR COLLABORATIVE EDUCATION INC,COLLECTIVE OWNERSHIP GROW-YOUR-OWN EDUCATOR PIPELINE,2/12/2025,5463935.24
USAID,PAN AMERICAN DEVELOPMENT FOUNDATION,"UNDER THIS ACTIVITY, USAID WILL PROVIDE TECHNICAL ASSISTANCE TO UTILIT...",3/1/2025,5461126.0
USAID,COOPERATIVE HOUSING FOUNDATION,CDP SUPPORTS ACTIVITIES THAT CONTRIBUTE TO A LARGER GOAL TO ADVANCE CO...,3/1/2025,5460911.0
USAID,CENTRE FOR PEACE AND DEVELOPMENT INITIATIVES,CITIZEN ENGAGEMENT PROGRAM TO STRENGTHEN CITIZEN ENGAGEMENT IN GOVERNA...,3/1/2025,5457850.0
