Agency,Uploaded On,Description,Saved
Department of State,2/26/2025,"TO EXPAND INTEGRATION OF WOMEN, PEACE AND SECURITY (WPS) ACROSS PEACE AND SECURITY EFFORTS THROUGH A CONSOLIDATED GLOBAL NETWORK OF WPS CHAMPIONS WITH THE EXPERTISE, SUPPORT, AND PLATFORMS NEEDED TO ADVANCE WPS GLOBALLY",326296.26
Department of State,2/26/2025,"TO ENCOURAGE UNIVERSITY STUDENTS IN MOLDOVA, POLAND, ROMANIA, AND SLOVAKIA TO PROMOTE SOCIAL COHESION IN COMMUNITIES WHERE REFUGEES FROM UKRAINE RESIDE AND PUSH BACK AGAINST ANTI-UKRAINE/UKRAINIAN NARRATIVES ONLINE AND OFFLINE.",211523.38
Department of State,2/26/2025,,324514.33
Department of State,2/26/2025,"EMPOWERING WOMEN IN BIOCONSTRUCTION AIMS TO GIVE LOW-INCOME WOMEN OF PERIPHERAL TERRITORIES SKILLS ON SUSTAINABLE TECHNIQUES AND PROJECT MANAGEMENT THAT WILL FOSTER FEMALE LEADERSHIP, AUTONOMY, AND COMMUNITY IMPROVEMENT.",5000.0
Department of State,2/26/2025,,248485.0
Department of State,2/26/2025,STRENGTHENING FINANCIAL TRANSPARENCY AND ACCOUNTABILITY IN THE DEMOCRATIC REPUBLIC OF THE CONGO.,253827.0
Department of State,2/26/2025,,463155.0
Department of State,2/26/2025,,700357.3
Department of State,2/26/2025,"A COHORT OF 30 ESTABLISHED AND EMERGING CIVIL SOCIETY LEADERS FROM PAKISTAN, BANGLADESH, INDIA, AND SRI LANKA WILL BE EMPOWERED TO IDENTIFY CLIMATE ISSUES AND SOLUTIONS THAT EFFECT SOUTH ASIA AND WILL BE ABLE TO EFFECTIVE PRESENT THEIR FINDINGS TO INTERN",403548.0
Department of State,2/26/2025,THE PURPOSE OF THIS AWARD IS TO SUPPORT THE PROJECT STRENGTHENING INDEPENDENT MEDIA IN MOLDOVA,467850.0
Department of State,2/26/2025,,490712.0
Department of State,2/26/2025,,249877.17
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,"TO PROVIDE $480,000 TO THE OAS/CICAD INSTITUTIONAL STRENGTHENING UNIT",0.0
Department of State,2/26/2025,,45223.95
Department of State,2/26/2025,,233608.86
Department of State,2/26/2025,ENHANCING CRISES RESPONSE CAPACITIES THROUGH REVITALIZING MIGRATION IN COUNTRIES IN CRISIS (MICIC) GUIDELINES FOR IMPROVED MIGRANT PROTECTION DURING CRISES.,239144.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,THIS AWARD SUPPORTS THE LIBYA MEDIA LITERACY TRAINING PROJECT.,407503.41
Department of State,2/26/2025,"THIS PROJECT FORMALIZES AND SCALES-UP RECENT, UNPRECEDENTED GOVERNMENT AND INDIGENOUS WOUNAAN COOPERATION THAT IS HOLDING CORRUPT ACTORS ACCOUNTABLE FOR ILLEGALLY TRAFFICKING INDIGENOUS LANDS AND IGNORING ENVIRONMENTAL LAWS.",341939.12
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,DEVELOPMENT OF A BESPOKE ECONOMIC MODEL AND CORRESPONDING ESTIMATES OF THE ECONOMIC IMPACT - BOTH TO THE KENYAN ECONOMY AND REFUGEE LIVELIHOODS - OF FULLY AND EFFICIENTLY IMPLEMENTING THE REFUGEE ID COMPONENT OF THE 2021 KENYAN REFUGEE ACT.,189388.87
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,,463450.0
Department of State,2/26/2025,"TO SUSTAIN THE WELL-BEING OF REFUGEES AND ASYLUM SEEKERS IN URBAN, RURAL SITES AND IMMIGRATION DETENTION CENTRES, FOR IMPROVING ACCESS TO BASIC HEALTH CARE.",463300.0
Department of State,2/26/2025,STRENGTHENING THE CAPACITY FOR GRANT WRITING AND PROGRAM IMPLEMENTATION OF PAKISTANI CIVIL SOCIETY ORGANIZATIONS (CSOS) AND NON-GOVERNMENTAL ORGANIZATIONS (NGOS) FROM UNDERSERVED COMMUNITIES OR THAT WORK ON ISSUES IMPACTING THESE UNDERSERVED POPULATIONS.,433458.0
Department of State,2/26/2025,,273703.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,,383162.06
Department of State,2/26/2025,"STABILIZATION, INSTALLATION OF SUPERSTRUCTURE FOR NEW FLOORS AND ROOF, ARREST OF THE MAIN DETERIORATION PROCESSES, AND INITIATION OF CONSERVATION WORK ON THE HISTORIC STONE WALLS.",367623.66
Department of State,2/26/2025,THE OBJECTIVE OF THE PROJECT IS TO STRENGTHEN THE COURT SYSTEM IN THE LAOS TO HAVE AN EFFECTIVE AND ACCOUNTABLE CASE MANAGEMENT SYSTEM THAT ADOPTS BEST PRACTICES WITH A FOCUS ON THE CRIMINAL AND CIVIL CHAMBERS IN SELECTED COURTS.,0.0
Department of State,2/26/2025,"STRENGTHENING ISRAEL AGAINST CHINESE INFLUENCE OPERATIONS, TECHNOLOGY ACQUISITION AND CYBER OPERATIONS: KNOWLEDGE, AWARENESS, CAPABILITY, POLICY.",251457.0
Department of State,2/26/2025,,449981.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,,617000.0
Department of State,2/26/2025,,445182.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,"TO BUILD THE CAPACITY OF THE STRONG CITIES NETWORK (SCN) TO COUNTER VIOLENT EXTREMISM IN COUNTRIES IN EAST AND WEST AFRICA, SOUTH AND CENTRAL ASIA, SOUTHEAST ASIA, AND THE WESTERN BALKANS.",444005.0
Department of State,2/26/2025,,82179.61
Department of State,2/26/2025,,440824.0
Department of State,2/26/2025,,128086.13
Department of State,2/26/2025,,24011.41
Department of State,2/26/2025,SETCRAFT AIMS TO INCREASE THE APPEAL OF JORDAN'S FILM INDUSTRY FOR INTERNATIONAL PRODUCTIONS THROUGH ADVANCING THE SKILLS OF FILM CREW MEMBERS TO UTILIZE THE MOST OF THE INDUSTRY'S POTENTIAL.,435575.0
Department of State,2/26/2025,,62224.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,,86599.08
Department of State,2/26/2025,,81172.59
Department of State,2/26/2025,,90000.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,"PROTECTION AND ASSISTANCE TO VULNERABLE MIGRANTS, INCLUDING CHILDREN, AT BANGKOK IMMIGRATION DETENTION CENTERS",214000.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,,262806.0
Department of State,2/26/2025,,55000.0
Department of State,2/26/2025,REBUILD AND RESTORE FIVE TYPES OF TANGIBLE CULTURAL HERITAGE STRUCTURES INTRINSICALLY LINKED TO INTANGIBLE CULTURAL HERITAGE THAT ARE AN INTEGRAL PART OF HIGH ATLAS AGRICULTURAL LIVELIHOODS,425000.0
Department of State,2/26/2025,,10334.0
Department of State,2/26/2025,LIBERIAN STATE AND NON-STATE ACTORS REDUCE THE NUMBER OF EGREGIOUS PRE-TRIAL DETENTION CASES.,0.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,,168441.45
Department of State,2/26/2025,,40340.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,"TO FUND MERC M41-003 PROJECT, TITLED: BIOGAS AS AN AGRICULTURE-FRIENDLY SOLUTION FOR HOUSEFLY CONTROL.",408610.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,,86242.0
Department of State,2/26/2025,,400175.0
Department of State,2/26/2025,,40000.0
Department of State,2/26/2025,"BOOST THE PARTICIPATION OF MARGINALIZED AND MINORITY COMMUNITIES IN PUBLIC LIFE, THROUGH CULTIVATING AND DEEPEN PROFESSIONAL SKILLSET OF MARGINALIZED & MINORITY FELLOWS AND EXPANDING POLITICAL INCLUSION IN SOMALIA.",155063.52
Department of State,2/26/2025,"TO IDENTIFY NECESSARY ACTIONS AND POLICY INTERVENTIONS TO REDUCE EMISSIONS AND ADDRESS SOURCES OF POLLUTION THAT CONTRIBUTE TO COMMON AIRSHEDS, BASED ON CONCENTRATION OF POLLUTANTS.",200000.0
Department of State,2/26/2025,TO SUPPORT THE IMPLEMENTATION OF THE MINAMATA CONVENTION ON MERCURY BY REDUCING THE USE OF MERCURY IN ARTISANAL AND SMALL SCALE GOLD MINING (ASGM) THROUGH PILOTING PROMISING TECHNOLOGIES FOR ALTERNATIVE GOLD EXTRACTION TECHNIQUES FROM ORES AND TAILINGS.,250000.0
Department of State,2/26/2025,PROJECT #1102456 MITIGATING CLIMATE CHANGE THREATS TO CRITICAL ENERGY INFRASTRUCTURE,0.0
Department of State,2/26/2025,DEVELOP AN ADVANCED STUDY PROGRAM IN COMBATING DISINFORMATION TO IMPROVE DEMOCRATIC RESILIENCE UNDER THE DEVELOPMENT COOPERATION PARTNERSHIP,167816.71
Department of State,2/26/2025,,50.0
Department of State,2/26/2025,"THE OVERALL OBJECTIVE OF THE PROJECT IS TO STRENGTHEN THE CAPACITY OF JUDGES, PROSECUTORS, AND INVESTIGATORS IN NORTH MACEDONIA TO UNCOVER, INVESTIGATE, PROSECUTE, AND ADJUDICATE LOW-SCALE CORRUPTION. SPECIFICALLY, THE PROJECT WILL ASSIST THE ACADEMY FOR",0.0
Department of State,2/26/2025,IDLO WILL CONTINUE TO PROVIDE ON-DEMAND COORDINATION AND LOGISTICAL BACKSTOPPING TO THE TEAM OF EXPERTS EMBEDDED AT THE CCIA IN THE COURSE OF THEIR WORK ON SECTOR-SPECIFIC CORRUPTION RISK ASSESSMENTS AND FORMULATION OF TARGETED POLICY RECOMMENDATIONS.,0.0
Department of State,2/26/2025,"TO SUPPORT U.S.-INDIA JUDICIAL RELATIONS VIA BILATERAL EXCHANGES, TRAINING WORKSHOPS, CURRICULUM DEVELOPMENT, AND TRAINING OF TRAINER (TOT) PROGRAMS",400000.0
Department of State,2/26/2025,STRENGTHEN BORDER SECURITY,0.0
Department of State,2/26/2025,"TO EMPOWER STATELESS PERSONS AND THOSE AT RISK OF STATELESSNESS THROUGH COMMUNITY-BASED CAPACITY BUILDING, RIGHTS AWARENESS, DIRECT LEGAL ASSISTANCE, AND LEGAL ACCOMPANIMENT; AND TO DEVELOP BEST PRACTICE MATERIALS RELATED TO STATELESSNESS",366666.67
Department of State,2/26/2025,"THE PROJECT SEEKS TO AID THE ADVANCEMENT OF HUMAN RIGHTS AND GOOD GOVERNANCE IN ZIMBABWE THROUGH IMPROVED ACCESS TO JUSTICE, GOOD GOVERNANCE, AND ACTIVE AND INFORMED CITIZEN PARTICIPATION.",147543.53
Department of State,2/26/2025,TO STRENGTHEN CAPACITY OF FRONTLINE ACTORS IN EUROPE AND CENTRAL ASIA TO IDENTIFY AND ADDRESS STATELESSNESS IN REFUGEE MIGRATION CONTEXT AND GLOBALLY EXCHANGE LEARNING AND TOOLS FOR IMPROVED IDENTIFICATION OF STATELESSNESS WITH OTHER REGIONS OF THE WORLD,399995.0
Department of State,2/26/2025,"PROJECTS TO REDUCE MERCURY USE IN ASGM CAN TAKE DIFFERENT APPROACHES, BUT GENERALLY WORK TO REDUCE MERCURY DEMAND FROM THE ASGM SECTOR THROUGH TRAINING AND CAPACITY BUILDING ON MERCURY-FREE PROCESSING TECHNIQUE AND/OR RESTRICTING THE SUPPLY OF MERCURY R",165542.0
Department of State,2/26/2025,THE UNIVERSITY OF ALABAMA WILL ADMINISTER THE SIX-WEEK GANDHI-KING SCHOLARLY EXCHANGE INITIATIVE FOR 20 PARTICIPANTS FROM THE UNITED STATES AND INDIA.,96237.63
Department of State,2/26/2025,GUIDE WB6 PARTNERS THROUGH THE DEVELOPMENT AND IMPLEMENTATION OF ACTIVITIES REQUIRED TO BRING THEIR REGULATIONS INTO ALIGNMENT WITH THE EUROPEAN UNION (EU) STANDARDS,125069.05
Department of State,2/26/2025,REFUGEE SELF-RELIANCE INITIATIVE (RSRI) - SOLUTION,398803.0
Department of State,2/26/2025,,398765.0
Department of State,2/26/2025,,20000.0
Department of State,2/26/2025,TO SUPPORT THE PROJECT DEVELOPING YOUNG LAWYERS PRACTICAL SKILLS: TOWARDS A REFORM OF LEGAL EDUCATION.,291122.09
Department of State,2/26/2025,,294671.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,"THESE FUNDS WILL SUPPORT THE PARTICIPATION OF NGOS, PRIVATE SECTOR, AND ACADEMIA IN THE SECOND PHASE OF THE UNTOC REVIEW MECHANISM.",0.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,,64716.56
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,,46200.0
Department of State,2/26/2025,"BUILD THE CAPACITY TO IMPROVE AIR QUALITY IN URBAN AREAS OF CENTRAL ASIA THROUGH THE IDENTIFICATION OF SOURCES AND SOURCE REGIONS OF PM2.5 WITH LOCAL, REGIONAL AND INTERNATIONAL STAKEHOLDER COLLABORATIONS.",376622.0
Department of State,2/26/2025,,328125.0
Department of State,2/26/2025,,188117.53
Department of State,2/26/2025,,80322.74
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,"TO OFFER A TWO-DAY IMMERSION PROGRAM ABOUT ENVIRONMENTAL ISSUES TO 30 PUBLIC HIGH SCHOOL STUDENTS, SUPPORTING U.S. AND BRAZIL'S COMMITMENT TO MITIGATE AND ADAPT TO CLIMATE CHANGE. TO ORGANIZE STRATEGIC PROGRAMING AND PURCHASE MAKER EQUIPMENT.",3540.0
Department of State,2/26/2025,THIS PROJECT AIMS TO INCREASE CITIZEN DEMAND FOR JUSTICE AND IMPROVE LEGAL AWARENESS IN KOSOVO.,123811.51
Department of State,2/26/2025,"THE PROGRAM WILL SUPPORT EXCHANGES FOR APPROXIMATELY 20 PARTICIPANTS FROM AF, EAP, AND WHA TO PARTICIPATE IN STEM RESEARCH, TRAINING, AND TEACHING, WITH A FOCUS ON MITIGATING CLIMATE CHANGE IN COLLABORATION WITH SELECTED U.S. HOST INSTITUTIONS.",319318.35
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,"TRAIN 16 KAZAKH RESEARCHERS AND ADMINISTRATORS TO IMPROVE RESEARCH COMMERCIALIZATION OUTCOMES, CULTIVATE WORKFORCE DEVELOPMENT INITIATIVES, AND ENABLE MORE PARTNERSHIPS FOR KAZAKH HEIS.",353880.0
Department of State,2/26/2025,TO ENHANCE THE QUALITY OF CLIMATE-RELATED JOURNALISM AHEAD OF THE UNITED NATIONS CLIMATE CHANGE CONFERENCE (COP 30) IN BELEM IN 2025.,0.0
Department of State,2/26/2025,UTILIZE EXISTING PARTNERSHIPS AND PROJECTS TO ESTABLISH THE FOUNDATION FOR THE FIRST REGIONAL AIR QUALITY AGREEMENT IN LATIN AMERICA. THIS PROJECT WILL SUPPORT THE IMPLEMENTATION OF U.S-LED UNEA-6 AIR QUALITY RESOLUTION 6/10,352494.16
Department of State,2/26/2025,,231592.74
Department of State,2/26/2025,,44262.0
Department of State,2/26/2025,"THE PROJECT ""INVESTIGATIVE NETWORK ALBANIA"" AIMS TO ENHANCE ALBANIAN INVESTIGATIVE JOURNALISM THROUGH A PLATFORM, GRANTS FOR JOURNALISTS, MEDIA SUPPORT, AND AN INTERNATIONAL STUDENT INTERNSHIP PROGRAM WITH BOSTON COLLEGE. OVER 18 MONTHS, IT SEEKS TO FOST",260000.0
Department of State,2/26/2025,THE PURPOSE OF THIS PROJECT IS TO ENHANCE COMMUNITY RESILIENCE AGAINST VARIOUS FORMS OF VIOLENT EXTREMISM IN BOTH PREVIOUSLY TARGETED AREAS AND NEWLY IDENTIFIED HOTSPOTS. IT WILL EXPAND THE IMPLEMENTATION OF THE SCHOOL AS COMMUNITY CENTER MODEL NATIONWID,350000.0
Department of State,2/26/2025,ESTABLISH TWO LEGAL CLINICS IN LUANDA AND LUNDA NORTE AND DELIVER LEGAL DEFENSE SERVICES THROUGH ANGOLAN BAR ASSOCIATION AND PRO-BONO ASSOCIATION.,275956.0
Department of State,2/26/2025,,150030.21
Department of State,2/26/2025,,96057.94
Department of State,2/26/2025,,338234.0
Department of State,2/26/2025,TO SUPPORT THE GOVERNMENT OF MOLDOVA'S EFFORTS TO ESTABLISH A MULTIDISCIPLINARY GROUP THAT PROVIDE SERVICES TO SEXUAL ASSAULT VICTIMS THAT WILL PROVIDE A COORDINATED RESPONSE TO SEXUAL ASSAULT AT THE COMMUNITY LEVEL.,184903.0
Department of State,2/26/2025,"TO PROMOTE THE PROTECTION OF REFUGEES, ASYLUM SEEKERS AND MIGRANTS WITH HEIGHTENED VULNERABILITIES.",262500.0
Department of State,2/26/2025,,7402.0
Department of State,2/26/2025,,155609.76
Department of State,2/26/2025,,348987.0
Department of State,2/26/2025,"TO ENSURE THAT VOTERS HAVE ACCESS TO RELEVANT, ACCURATE AND TIMELY INFORMATION ON DEVELOPMENT ISSUES, POLITICAL PARTY PLATFORMS AND CANDIDATES AND TO HOLD POLITICAL PARTIES AND CANDIDATES ACCOUNTABLE FOR THE PROMISES THEY MAKE.",104415.76
Department of State,2/26/2025,,343750.0
Department of State,2/26/2025,,35541.0
Department of State,2/26/2025,,340308.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,,236214.0
Department of State,2/26/2025,,168226.3
Department of State,2/26/2025,TO SUPPORT AND EXPAND THE APPLICATION OF GLOBAL HUMANITARIAN STANDARDS FOR LOCAL ACTION AND PREPAREDNESS FOR CRISIS-AFFECTED COMMUNITIES.,330000.0
Department of State,2/26/2025,,178302.61
Department of State,2/26/2025,,82176.76
Department of State,2/26/2025,DEVELOP AND DISSEMINATE THE FISCAL TRANSPARENCY FOR DEVELOPMENT ONLINE COURSE IN SPANISH AND ARABIC,129440.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,,82972.39
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,,190000.0
Department of State,2/26/2025,,161748.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,,14457.0
Department of State,2/26/2025,,172000.0
Department of State,2/26/2025,,308000.0
Department of State,2/26/2025,,230576.5
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,,301278.0
Department of State,2/26/2025,,246704.0
Department of State,2/26/2025,,150000.0
Department of State,2/26/2025,"THE OVERALL GOAL OF THE PROJECT IS TO STRENGTHEN ALBANIAN DEMOCRATIC PROCESSES BY TRANSFORMING MEDIA CONSUMPTION INTO AN ACTIVE AND CRITICAL PROCESS FOR UNIVERSITY STUDENTS AND ALBANIAN CITIZENS, STRENGTHENING THEIR CAPACITIES IN FACING INFORMATION MANIP",210000.0
Department of State,2/26/2025,,300000.0
Department of State,2/26/2025,"THE MAIN GOAL OF THE PROGRAM IS TO DEEPEN COUNTER-DISINFORMATION CAPACITY THROUGH ENHANCED TECHNICAL SKILLS AND COLLABORATION AMONG GOVERNMENT OFFICIALS, NGOS, AND JOURNALISTS, ESPECIALLY IN THOSE COUNTRIES THAT HAVE ENDORSED THE FRAMEWORK TO COUNTER FOR",300000.0
Department of State,2/26/2025,,300000.0
Department of State,2/26/2025,"TO PROVIDE EXECUTIVE MANAGEMENT SUPPORT TO THE TT OFFICE OF THE DIRECTOR OF PUBLIC PROSECUTIONS. THIS INCLUDES CREATING A STRATEGIC PLAN CONTAINING INTERNATIONAL BEST PRACTICES OF CONDUCT STAFF RECRUITMENT AND RETENTION, REVIEWING STANDARD OPERATING PROC",0.0
Department of State,2/26/2025,"REDUCE SUBSTANCE USE, INCREASE ACCESS TO DRUG TREATMENT AND MENTAL HEALTH DISORDERS, MOBILIZATION OF COMMUNITY RESOURCES FOR EFFECTIVE AWARENESS AND PREVENTION PROGRAMMING IN RURAL AND INDIGENOUS COMMUNITIES.",230023.41
Department of State,2/26/2025,"BUILDING VICTIM-CENTERED, TRAUMA-INFORMED CRIMINAL JUSTICE SYSTEM CAPACITIES IN SLOVAKIA TO BETTER TACKLE CRIMES RELATED TO THE WAR OF RUSSIA AGAINST UKRAINE.",212280.0
Department of State,2/26/2025,TO MAP LOCAL AND NATIONAL POLICIES THAT WILL FACILITATE DDR PROGRAMS WITH GENDER PERSPECTIVE SUPPORTED BY THE ESTABLISHMENT OF A WOMEN NETWORK OF SERVICE PROVIDERS.,0.0
Department of State,2/26/2025,"TO CREATE, IMPLEMENT, MONITOR, AND EVALUATE ALTERNATIVES TO INCARCERATION FOR PERSONS WHO ARE USING DRUGS IN CONTACT WITH THE CRIMINAL JUSTICE SYSTEM FOCUSING ON PRE-TRIAL.",0.0
Department of State,2/26/2025,"TO PROVIDE EXECUTIVE MANAGEMENT SUPPORT TO THE TT OFFICE OF THE DIRECTOR OF PUBLIC PROSECUTIONS, INCLUDING CREATING A STRATEGIC PLAN, PROVIDING INTERNATIONAL BEST PRACTICES OF CONDUCT, STAFF RECRUITMENT AND RETENTION, AND REVIEWING STANDARD OPERATING PRO",0.0
Department of State,2/26/2025,INCREASING CIVIL SOCIETY'S ENGAGEMENT IN REGIONAL MULTILATERAL ANTI-CORRUPTION BODIES.,0.0
Department of State,2/26/2025,TO FORMULATE GUIDELINES FOR THE QUALITY ASSURANCE OF ACADEMIC INSTITUTIONS AND ESTABLISH A PROCESS FOR CONDUCTING PEER EVALUATIONS IN COORDINATION WITH U.S. UNIVERSITIES,300000.0
Department of State,2/26/2025,"THE ATLANTIC COUNCIL'S EMPOWERME INITIATIVE, IN COLLABORATION WITH GEORGETOWN UNIVERSITY'S MCDONOUGH SCHOOL OF BUSINESS, WILL LAUNCH A WOMEN INNOVATORS (WIN) FELLOWSHIP PROGRAM IN JORDAN.",300000.0
Department of State,2/26/2025,AFCP - POST-DISASTER RECOVERY OF THE REMAINS OF THE ANCIENT EXTRAMURAL SANCTUARY OF DEMETER AND PERSEPHONE AT CYRENE.,300000.0
Department of State,2/26/2025,THIS PROGRAM WILL SUPPORT 16 CIVIL SOCIETY REPRESENTATIVES THROUGH A THREE PART PROFESSIONAL EXCHANGE THAT WILL PROVIDE TRAINING SITE VISITS AND MEETINGS WITH AMERICAN EXPERTS TO IMPART BEST PRACTICES NEW IDEAS AND NETWORKS,300000.0
Department of State,2/26/2025,THIS PROJECT WILL PROMOTE CSO CAPACITY BUILDING AND COLLABORATION FOR THE PROTECTION AND ADVANCEMENT OF HUMAN RIGHTS.,235000.0
Department of State,2/26/2025,JRS INDIA RESPONSE TO VULNERABLE UNREGISTERED BURMESE IN INDIA.,205327.0
Department of State,2/26/2025,,300000.0
Department of State,2/26/2025,TO SUPPORT IIE SCHOLAR RESCUE FUND TO SUPPORT NEW YEMENI SCHOLARS AND CURRENT IIE-SRF NEA FELLOWS.,99366.91
Department of State,2/26/2025,"THE DRINO VALLEY MONASTERIES CULTURAL ROUTES: CONNECTING RURAL COMMUNITIES. THIS PROJECT INTENDS TO PRESERVE THE MONASTERY COMPLEXES OF ALBANIA SOUTHERN DRINO VALLEY, UTILIZING THE LOCAL COMMUNITY ENGAGEMENT TO DEVELOP A MODEL FOR ATTRACTING TOURISM",149998.88
Department of State,2/26/2025,"THE PURPOSE OF THE PROJECT IS TO FOCUS ON THE CHALLENGES OF POOR AIR QUALITY IN PAKISTAN, WHICH SIGNIFICANTLY DIMINISHES THE HEALTH AND LIVELIHOODS OF THE PAKISTAN POPULATION.",299996.0
Department of State,2/26/2025,THIS INITIATIVE AIMS TO EMPOWER WOMEN AND GIRLS IN JORDAN BY CREATING ORIGINAL PLAYS ADDRESSING WOMEN'S ISSUES.,249995.89
Department of State,2/26/2025,,74997.6
Department of State,2/26/2025,,148579.8
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,"TRAIN A NEW GENERATION OF ASEAN URBAN PLANNERS, ARCHITECTS, AND ENGINEERS IN THE LATEST METHODOLOGIES, TECHNIQUES, MATERIALS, AND ARCHITECTURAL DESIGNS TO IMPROVE THE AIR QUALITY INSIDE AND OUTSIDE OF BUILDINGS.",113278.39
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,"GRANT TO THE SOLIDARITY CENTER FOR $290,700 FOR THE FY 2024 TRADITIONAL PUBLIC-PRIVATE PARTNERSHIP (TPPP) PROGRAM.",290700.0
Department of State,2/26/2025,"TO RENOVATE AL-QAHIRA CASTLE INCLUDING, THE MAIN ENTRANCE,FORTIFYING THE SOUTHERN WALL, REINFORCING THE NORTHWEST WALL, AND THE RECONSTRUCTION OF A MUSEUM THAT WAS TRAGICALLY DESTROYED, ALONG WITH THE RECOVERY AND PRESERVATION OF ITS VALUABLE COLLECTION.",248978.76
Department of State,2/26/2025,"TO IMPLEMENT THE PROJECT RESTORATION OF QUEENS PALACE AT THE ZUGDIDI DADIANI PALACES, ZUGDIDI, GEORGIA.",56790.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,THIS PROJECT WILL CONDUCT A MAPPING AND ASSESSMENT OF THE CRIMINAL JUSTICE DATABASES AMONG GON AGENCIES AND DEVELOP A FRAMEWORK AND PLAN TO CONNECT THOSE DATABASES TO IMPROVE CRIMINAL JUSTICE IN NIGERIA.,0.0
Department of State,2/26/2025,,29994.0
Department of State,2/26/2025,"FOSTERING LINKS BETWEEN JUSTICE AND RULE OF LAW SECTOR INSTITUTIONS AND THE COMMUNITIES THEY SERVE THROUGH SUPPORT TO LOCAL CIVIL SOCIETY AND EDUCATIONAL ORGANIZATIONS, INCLUDING EFFORTS TO RAISE AWARENESS ABOUT HUMAN RIGHTS, ANTI-CORRUPTION, GENDER-BASE",213455.67
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,,152325.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,,278918.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,,24525.29
Department of State,2/26/2025,"THIS PROJECT SUPPORTS THE ADOPTION OF MERCURY-FREE GOLD PROCESSING TECHNOLOGIES IN COTE D'IVOIRE BY DEVELOPING MINE SITE PLANS, FACILITATE MINERS' ACCESS TO THE FORMAL FINANCIAL SECTOR, AND ACCESS TO MERCURY-FREE GOLD PROCESSING TECHNOLOGIES.",275000.0
Department of State,2/26/2025,PROMOTING YOUTH AND WOMENS POLITICAL PARTICIPATION BY STRENGTHENING THE CAPACITY OPPORTUNITY AND RESOURCES FOR INCLUSIVE GOVERNANCE,275000.0
Department of State,2/26/2025,"THE PROJECT AIMS TO CONTRIBUTE TO STRENGTHENING PROTECTION AND LIVELIHOOD SUPPORT TO CRISIS AFFECTED WOMEN AND GIRLS IN EASTERN PARTS OF ABKHAZIA GALI, TKUARCHAL AND OCHAMCHIRA DISTRICTS.",0.0
Department of State,2/26/2025,TO ENABLE THE RECIPIENT TO IMPLEMENT THE PROJECT - FACT-BASED COUNTERING OF SOVIET NOSTALGIA AND RUSSIAN HISTORICAL REVISIONISM.,0.0
Department of State,2/26/2025,,56210.36
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,,124763.85
Department of State,2/26/2025,DEVELOP SUPPORT AND DEEPEN AMERICAN KNOWLEDGE OF EASTERN EUROPE AND THE STATES OF THE FORMER SOVIET UNION,257347.19
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,,60000.0
Department of State,2/26/2025,,60334.43
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,"CONDUCT A THREE-PHASE CULTURAL PRESERVATION PROCESS OF 50 ETHNOLINGUISTIC CULTURES IN NIGERIA MIDDLE BELT, PRODUCE EXTENSIVE AUDIOVISUAL DOCUMENTATION OF INTANGIBLE CULTURAL HERITAGE OF 10 FOCUS MINORITY CULTURES",258966.39
Department of State,2/26/2025,,206840.66
