Main Agency,Location,Sq_Ft,Saved
FOOD AND DRUG ADMINISTRATION,"WARWICK, RI",4215,276743.0
FOOD AND DRUG ADMINISTRATION,"EAST PROVIDENCE, RI",2400,211993.0
EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,"GREENVILLE, SC",4989,375131.0
SMALL BUSINESS ADMINISTRATION,"SIOUX FALLS, SD",3810,318182.0
INTERNAL REVENUE SERVICE NATIONAL OFFICE,"FRANKLIN, TN",135373,31830982.0
FOOD AND DRUG ADMINISTRATION,"NASHVILLE, TN",14004,777105.0
FOOD AND DRUG ADMINISTRATION,"MEMPHIS, TN",12305,701149.0
GEOLOGICAL SURVEY,"SPOKANE VALLEY, WA",13196,2170634.0
NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION,"PORT ANGELES, WA",4556,217169.0
BUREAU OF INDIAN AFFAIRS,"ASHLAND, WI",34970,1515284.0
BUREAU OF INDIAN AFFAIRS,"SHAWANO, WI",1990,6066.0
GEOLOGICAL SURVEY,"CHEYENNE, WY",9521,1054635.0
GEOLOGICAL SURVEY,"SAN ANTONIO, TX",20950,2276678.0
FOOD AND DRUG ADMINISTRATION,"IRVING, TX",5788,414741.0
OFFICE OF PERSONNEL MANAGEMENT,"SAN ANTONIO, TX",4775,19355.0
MARITIME ADMINISTRATION,"BEAUMONT, TX",2404,16555.0
DEPARTMENTAL MANAGEMENT (IG),"SAN ANTONIO, TX",2149,358346.0
FEDERAL TRADE COMMISSION,"DALLAS, TX",15255,0.0
NATURAL RESOURCES CONSERVATION SERVICE,"SAN SEBASTIAN, PR",1810,56336.0
FARM SERVICE AGENCY- STATE,"MONTGOMERY, AL",30881,0.0
OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION,"MOBILE, AL",5548,0.0
UNITED STATES FISH AND WILDLIFE SERVICE,"DAPHNE, AL",7087,311781.0
INTERNAL REVENUE SERVICE NATIONAL OFFICE,"BIRMINGHAM, AL",7580,126702.0
"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI","MOBILE, AL",2200,104460.0
NATIONAL PARK SERVICE,"FLAGSTAFF, AZ",6760,668156.0
FOOD AND DRUG ADMINISTRATION,"TEMPE, AZ",4176,1410731.0
BUREAU OF INDIAN AFFAIRS,"PHOENIX, AZ",71591,7285644.0
"EMPLOY. STANDARDS ADMIN., OFC OF CONTRACT COMPLIANCE PR","ORANGE, CA",2082,282670.0
BUREAU OF RECLAMATION,"TEMECULA, CA",3531,315031.0
DEPARTMENTAL MANAGEMENT (IG),"MONTEREY PARK, CA",6917,354565.0
NATURAL RESOURCES CONSERVATION SERVICE,"SALINAS, CA",7829,71831.0
FARM SERVICE AGENCY- STATE,"MADERA, CA",3858,86805.0
FAS REG 09 MAINTENANCE CONTROL CENTER,"LOMPOC, CA",5400,222359.0
UNITED STATES TRUSTEES,"RIVERSIDE, CA",5938,398166.0
PIPELINE & HAZARDOUS MATERIALS SAFETY ADMIN (PHMSA),"ONTARIO, CA",8559,422021.0
MINE SAFETY HEALTH ADMINISTRATION,"VACAVILLE, CA",11014,319023.0
BUREAU OF INDIAN AFFAIRS,"HOLLYWOOD, FL",3000,79365.0
U.S. AGENCY FOR GLOBAL MEDIA,"MIAMI, FL",35927,5317548.0
RURAL HOUSING SERVICE,"OCALA, FL",5591,241003.0
NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION,"KEY LARGO, FL",7993,1449064.0
BUREAU OF LABOR STATISTICS,"FORT WALTON BEACH, FL",15264,1033609.0
NATIONAL PARK SERVICE,"HAGATNA, GU",6959,185805.0
OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION,"FAIRVIEW HEIGHTS, IL",2971,0.0
FOOD AND DRUG ADMINISTRATION,"PEORIA, IL",1155,33295.0
"CORPS OF ENGINEERS, CIVIL","GRIFFITH, IN",3170,370357.0
NATIONAL PARK SERVICE,"CRANE LAKE, MN",2512,85246.0
NATURAL RESOURCES CONSERVATION SERVICE,"SAIPAN ISLAND, MP",3600,194015.0
ENVIRONMENTAL PROTECTION AGENCY,"GULFPORT, MS",8608,82604.0
FOREST SERVICE,"ACKERMAN, MS",4809,83484.0
OFFICE OF THE INSPECTOR GENERAL,"JACKSON, MS",3043,229863.0
UNITED STATES FISH AND WILDLIFE SERVICE,"JACKSON, MS",14840,1187039.0
NATURAL RESOURCES CONSERVATION SERVICE,"GREENWOOD, MS",7500,287000.0
FOOD SAFETY AND INSPECTION SERVICE,"RIDGELAND, MS",7277,144159.0
BUREAU OF LABOR STATISTICS,"MOUNTAINSIDE, NJ",4876,21430.0
INDIAN HEALTH SERVICE-PHOENIX,"ELKO, NV",853,148264.0
"EMPLOY. STANDARDS ADMIN., OFC OF WORKERS' COMP. PRGMS","BUFFALO, NY",2168,95213.0
INDIAN HEALTH SERVICE-NASHVILLE,"MANLIUS, NY",2105,62746.0
"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI","FOREST HILLS, NY",5070,591172.0
GEOLOGICAL SURVEY,"NEW PHILADELPHIA, OH",2765,61362.0
NATURAL RESOURCES CONSERVATION SERVICE,"PORTLAND, OR",4987,129878.0
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,"SAN JUAN, PR",3716,89616.0
FARM SERVICE AGENCY - COUNTY,"UTUADO, PR",5750,51884.0
RURAL HOUSING SERVICE,"MAYAGUEZ, PR",2991,87886.0
FARM SERVICE AGENCY- STATE,"HATO REY, PR",14875,528245.0
FEDERAL HIGHWAY ADMINISTRATION,"SAN JUAN, PR",4951,199214.0
DEPARTMENTAL MANAGEMENT (IG),"SAN JUAN, PR",4573,185793.0
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,"HATO REY, PR",20683,552319.0
NATIONAL LABOR RELATIONS BOARD,"HATO REY, PR",12409,776225.0
INTERNAL REVENUE SERVICE NATIONAL OFFICE,"GUAYNABO, PR",9462,857974.0
NATURAL RESOURCES CONSERVATION SERVICE,"ARECIBO, PR",4360,441987.0
"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI","GUAYNABO, PR",5778,48169.0
FARM SERVICE AGENCY- STATE,"MAYAGUEZ, PR",2678,112917.0
RURAL HOUSING SERVICE,"CHRISTIANSTED, VI",4439,335819.0
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,"BURLINGTON, VT",2343,71954.0
FOOD AND DRUG ADMINISTRATION,"BALTIMORE, MD",3090,213324.0
SMALL BUSINESS ADMINISTRATION,"BALTIMORE, MD",6160,293000.0
FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,"OLYMPIA, WA",2069,140630.0
MINE SAFETY HEALTH ADMINISTRATION,"BIRMINGHAM, AL",20554,1699269.0
FOREST SERVICE,"MONTGOMERY, AL",15792,800734.0
FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,"MONTGOMERY, AL",2662,158518.0
NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION,"SUNRISE, FL",1858,77144.0
EMPLOYEE BENEFITS SECURITY ADMIN,"PLANTATION, FL",16254,2864956.0
FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,"CHEYENNE, WY",2311,52718.0
FOREST SERVICE,"ANCHORAGE, AK",27770,7865819.0
SMALL BUSINESS ADMINISTRATION,"LITTLE ROCK, AR",17878,1160878.0
BUREAU OF THE CENSUS,"TUCSON, AZ",7335,311885.0
BUR OF INDUSTRY & SECURITY,"PHOENIX, AZ",36750,3583425.0
FOOD AND DRUG ADMINISTRATION,"SAN CLEMENTE, CA",21450,933314.0
BUREAU OF PRISONS,"STOCKTON, CA",33204,2901228.0
FOOD AND DRUG ADMINISTRATION,"SAN JOSE, CA",4859,110299.0
INTERNATIONAL TRADE ADMINISTRATION,"SAN DIEGO, CA",3328,75753.0
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,"FORT COLLINS, CO",7803,962129.0
"CORPS OF ENGINEERS, CIVIL","LAKEWOOD, CO",21015,972661.0
ENVIRONMENTAL PROTECTION AGENCY,"CASTLE ROCK, CO",10800,1262149.0
FOREST SERVICE,"FORT COLLINS, CO",43599,2425203.0
OFFICE OF THE SECRETARY,"DENVER, CO",86809,9441817.0
INTERNATIONAL TRADE ADMINISTRATION,"DENVER, CO",3885,337278.0
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,"WALLINGFORD, CT",2711,13432.0
FOOD AND DRUG ADMINISTRATION,"WILMINGTON, DE",3464,310002.0
FEDERAL RAILROAD ADMINISTRATION,"WILMINGTON, DE",2950,273935.0
OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION,"WILMINGTON, DE",2099,193737.0
"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI","PENSACOLA, FL",690,55612.0
FOREST SERVICE,"TALLAHASSEE, FL",17770,1108797.0
FOOD AND DRUG ADMINISTRATION,"PLANTATION, FL",14691,691172.0
FOOD AND DRUG ADMINISTRATION,"TALLAHASSEE, FL",1440,288124.0
"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI","SAVANNAH, GA",1848,163394.0
OFFICE OF THE SECRETARY,"ATLANTA, GA",3354,160585.0
BUREAU OF PRISONS,"ATLANTA, GA",34146,431863.0
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,"BARRIGADA, GU",4222,243364.0
NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION,"BOISE, ID",5156,27862.0
RURAL HOUSING SERVICE,"TOPEKA, KS",10020,153681.0
OFFICE OF THE SECRETARY,"LOUISVILLE, KY",2184,111530.0
DEPARTMENTAL MANAGEMENT (IG),"LOUISVILLE, KY",2463,189470.0
INDIAN HEALTH SERVICE-NASHVILLE,"OPELOUSAS, LA",1029,22931.0
OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION,"ANDOVER, MA",4903,82084.0
"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI","SPRINGFIELD, MA",599,38315.0
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,"UXBRIDGE, MA",4852,415728.0
FARM SERVICE AGENCY- STATE,"ANNAPOLIS, MD",5300,66241.0
DEPARTMENTAL MANAGEMENT (IG),"GRAND RAPIDS, MI",2145,202657.0
AGRICULTURAL MARKETING SERVICE,"DETROIT, MI",856,72760.0
INDIAN HEALTH SERVICE-BEMIDJI,"SAULT STE MARIE, MI",1100,85937.0
"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI","MINNEAPOLIS, MN",3499,49704.0
"EMPLOY. STANDARDS ADMIN., OFC OF CONTRACT COMPLIANCE PR","MINNEAPOLIS, MN",4256,68096.0
NATURAL RESOURCES CONSERVATION SERVICE,"COLUMBIA, MO",52257,2305620.0
OFFICE OF THE SECRETARY,"KANSAS CITY, MO",11465,757776.0
INTERNATIONAL TRADE ADMINISTRATION,"KANSAS CITY, MO",1995,85957.0
SMALL BUSINESS ADMINISTRATION,"KANSAS CITY, MO",9549,406311.0
NATURAL RESOURCES CONSERVATION SERVICE,"MISSOULA, MT",8310,574775.0
ENVIRONMENTAL PROTECTION AGENCY,"CHARLOTTE, NC",2154,146568.0
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,"BISMARCK, ND",28954,1321575.0
SMALL BUSINESS ADMINISTRATION,"OMAHA, NE",5756,33895.0
FOOD AND NUTRITION SERVICE (FNS),"ROBBINSVILLE, NJ",28930,1750964.0
RURAL HOUSING SERVICE,"MT LAUREL, NJ",7111,387099.0
"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI","LAWRENCEVILLE, NJ",3420,293113.0
FOREST SERVICE,"SILVER CITY, NM",29554,1860615.0
FARM SERVICE AGENCY - COUNTY,"ROSWELL, NM",5635,760814.0
INTERNATIONAL TRADE ADMINISTRATION,"WHITE PLAINS, NY",2071,201506.0
MINE SAFETY HEALTH ADMINISTRATION,"GENEVA, NY",4046,113087.0
SMALL BUSINESS ADMINISTRATION,"CINCINNATI, OH",2247,32676.0
MINE SAFETY HEALTH ADMINISTRATION,"ST. CLAIRSVILLE, OH",8275,437458.0
DEPARTMENTAL MANAGEMENT (IG),"CLEVELAND, OH",2287,230711.0
SMALL BUSINESS ADMINISTRATION,"COLUMBUS, OH",6721,490164.0
INTERNATIONAL TRADE ADMINISTRATION,"OKLAHOMA CITY, OK",1182,95791.0
MINE SAFETY HEALTH ADMINISTRATION,"FRACKVILLE, PA",5125,55228.0
BUREAU OF PRISONS,"PHILADELPHIA, PA",4962,121888.0
INTERNATIONAL TRADE ADMINISTRATION,"PHILADELPHIA, PA",3492,87941.0
OFFICE OF THE INSPECTOR GENERAL,"KING OF PRUSSIA, PA",3173,135952.0
MINE SAFETY HEALTH ADMINISTRATION,"WAYNESBURG, PA",8233,478057.0
OFFICE OF INSPECTOR GENERAL,"KING OF PRUSSIA, PA",3109,221375.0
MINE SAFETY HEALTH ADMINISTRATION,"MOUNT PLEASANT, PA",12964,786086.0
FARM SERVICE AGENCY - COUNTY,"PONCE, PR",3218,468257.0
FARM SERVICE AGENCY - COUNTY,"LARES, PR",2700,302105.0
ENVIRONMENTAL PROTECTION AGENCY,"GUAYNABO, PR",22391,1404113.0
NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION,"NARRAGANSETT PIER, RI",674,197484.0
FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,"EAST PROVIDENCE, RI",1556,126316.0
MINE SAFETY HEALTH ADMINISTRATION,"RAPID CITY, SD",3098,168215.0
NATIONAL APPEALS DIVISION,"MEMPHIS, TN",3398,354188.0
NATURAL RESOURCES CONSERVATION SERVICE,"GALLATIN, TN",6017,485983.0
MINE SAFETY HEALTH ADMINISTRATION,"KNOXVILLE, TN",2969,208273.0
FEDERAL COMMUNICATIONS COMMISSION,"DALLAS, TX",2077,237467.0
MINE SAFETY HEALTH ADMINISTRATION,"SAN ANTONIO, TX",4153,261423.0
FARM SERVICE AGENCY - COUNTY,"GONZALES, TX",2675,200680.0
MINE SAFETY HEALTH ADMINISTRATION,"LONGVIEW, TX",2400,215450.0
FARM SERVICE AGENCY- STATE,"NACOGDOCHES, TX",6234,84392.0
"CORPS OF ENGINEERS, CIVIL","BOUNTIFUL, UT",2961,137940.0
NATURAL RESOURCES CONSERVATION SERVICE,"LOGAN, UT",7500,480459.0
NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION,"BARRE, VT",287,12413.0
SMALL BUSINESS ADMINISTRATION,"SEATTLE, WA",12867,0.0
"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI","TACOMA, WA",842,39133.0
FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,"MADISON, WI",2477,137912.0
RURAL HOUSING SERVICE,"STEVENS POINT, WI",15843,896408.0
DEPARTMENTAL MANAGEMENT (IG),"MADISON, WI",1486,143726.0
FOOD AND DRUG ADMINISTRATION,"MADISON, WI",2975,272746.0
MINE SAFETY HEALTH ADMINISTRATION,"SUMMERSVILLE, WV",5020,402961.0
"EMPLOY. AND TRAIN. ADMIN., BUR. OF APPRENTICESHIP AND T","MARTINSBURG, WV",525,48262.0
OFFICE OF THE SECRETARY,"CHARLESTON, WV",3122,118206.0
"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI","COLORADO SPRINGS, CO",875,7307.0
SMALL BUSINESS ADMINISTRATION,"ANCHORAGE, AK",4031,87371.0
FOOD AND DRUG ADMINISTRATION,"SALT LAKE CITY, UT",6300,475620.0
OFFICE OF INSPECTOR GENERAL,"MOUNTAINSIDE, NJ",3451,121700.0
NATIONAL LABOR RELATIONS BOARD,"LOS ANGELES, CA",20885,344214.0
"CORPS OF ENGINEERS, CIVIL","APPLE VALLEY, CA",3755,328017.0
RAILROAD RETIREMENT BOARD,"COVINA, CA",2270,284097.0
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,"HAINES CITY, FL",5139,76800.0
NATIONAL PARK SERVICE,"NAPLES, FL",4862,230070.0
MINE SAFETY HEALTH ADMINISTRATION,"ALBANY, OR",3618,117446.0
FARM SERVICE AGENCY - COUNTY,"BAKERSFIELD, CA",7306,362895.0
SECURITIES AND EXCHANGE COMMISSION,"LOS ANGELES, CA",57903,9654380.0
MINE SAFETY HEALTH ADMINISTRATION,"SAN BERNARDINO, CA",4294,122935.0
NATURAL RESOURCES CONSERVATION SERVICE,"BLYTHE, CA",980,0.0
FEDERAL COMMUNICATIONS COMMISSION,"CERRITOS, CA",3680,463570.0
FOREST SERVICE,"MOUNT SHASTA, CA",536,52000.0
INDIAN HEALTH SERVICE-CALIFORNIA,"UKIAH, CA",1848,191072.0
NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION,"EUREKA, CA",823,65977.0
"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI","SPRINGFIELD, IL",2128,147203.0
MINE SAFETY HEALTH ADMINISTRATION,"LITCHFIELD, IL",2889,43645.0
"FED ACQUISITION SRVC, REG 05 FLEET MGMT FACILITIES","LISLE, IL",1520,48517.0
MINE SAFETY HEALTH ADMINISTRATION,"HIBBING, MN",2622,99163.0
FOOD AND DRUG ADMINISTRATION,"GREENSBORO, NC",1579,16570.0
FOOD AND DRUG ADMINISTRATION,"NEWARK, NJ",14736,2112611.0
NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION,"WALL TOWNSHIP, NJ",1768,179417.0
DEPARTMENTAL MANAGEMENT (IG),"EDISON, NJ",4160,355026.0
OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION,"AVENEL, NJ",4968,299507.0
UNITED STATES TRUSTEES,"NEWARK, NJ",13922,123285.0
FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,"PRINCETON, NJ",3780,472173.0
MINE SAFETY HEALTH ADMINISTRATION,"ALBANY, NY",4454,220025.0
NATURAL RESOURCES CONSERVATION SERVICE,"SYRACUSE, NY",33548,498273.0
UNITED STATES TRUSTEES,"BUFFALO, NY",5109,491299.0
OFFICE OF INSPECTOR GENERAL,"NEW YORK, NY",10651,1492610.0
MINE SAFETY HEALTH ADMINISTRATION,"HEBRON, OH",3682,258159.0
FEDERAL MEDIATION AND CONCILIATION SERVICE,"INDEPENDENCE, OH",6609,517318.0
DEPARTMENT OF HEALTH & HUMAN SERVICES,"CLEVELAND, OH",45455,4309403.0
"EMPLOY. STANDARDS ADMIN., OFC OF WORKERS' COMP. PRGMS","RICHLAND, WA",979,53733.0
FOREST SERVICE,"POMEROY, WA",10516,1453106.0
NATURAL RESOURCES CONSERVATION SERVICE,"RENTON, WA",1451,166106.0
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,"OLYMPIA, WA",3458,866034.0
FEDERAL HIGHWAY ADMINISTRATION,"MADISON, WI",6254,408205.0
FOOD AND DRUG ADMINISTRATION,"WAUWATOSA, WI",6757,499666.0
SOCIAL SECURITY ADMINISTRATION,"MANSFIELD, OH",1047,27557.0
SOCIAL SECURITY ADMINISTRATION,"WAUSAU, WI",1851,48466.0
NATIONAL PARK SERVICE,"HOMESTEAD, FL",21356,0.0
GEOLOGICAL SURVEY,"LITTLE ROCK, AR",19005,0.0
UNITED STATES FISH AND WILDLIFE SERVICE,"ARCATA, CA",25500,0.0
UNITED STATES FISH AND WILDLIFE SERVICE,"LITTLETON, CO",1250,0.0
BUREAU OF RECLAMATION,"DURANGO, CO",8900,0.0
GEOLOGICAL SURVEY,"GOLDEN, CO",8219,0.0
OFFICE OF THE SECRETARY,"HARTFORD, CT",24647,0.0
GEOLOGICAL SURVEY,"HILO, HI",10731,0.0
UNITED STATES FISH AND WILDLIFE SERVICE,"INDIANOLA, IA",2616,0.0
INTERNAL REVENUE SERVICE NATIONAL OFFICE,"SALINA, KS",2203,0.0
UNITED STATES FISH AND WILDLIFE SERVICE,"DERBY, KS",1365,0.0
UNITED STATES TRUSTEES,"WORCESTER, MA",5506,0.0
UNITED STATES FISH AND WILDLIFE SERVICE,"BOZEMAN, MT",7853,0.0
UNITED STATES FISH AND WILDLIFE SERVICE,"MINOT, ND",833,0.0
NATIONAL PARK SERVICE,"VALENTINE, NE",6234,0.0
NATIONAL PARK SERVICE,"MOUNTAINAIR, NM",7648,0.0
BUREAU OF INDIAN AFFAIRS,"PAWHUSKA, OK",10335,0.0
NATIONAL PARK SERVICE,"YANKTON, SD",9048,0.0
OFFICE OF HEARING AND APPEALS,"RAPID CITY, SD",2252,0.0
NATIONAL INDIAN GAMING COMMISSION,"RAPID CITY, SD",1518,0.0
UNITED STATES FISH AND WILDLIFE SERVICE,"LAREDO, TX",2645,0.0
UNITED STATES FISH AND WILDLIFE SERVICE,"WEST VALLEY CITY, UT",8482,0.0
GEOLOGICAL SURVEY,"MOAB, UT",4750,0.0
BUREAU OF INDIAN AFFAIRS,"TOPPENISH, WA",17107,0.0
OFFICE OF THE SECRETARY,"ANCHORAGE, AK",14805,0.0
NATIONAL PARK SERVICE,"FORT PAYNE, AL",5300,0.0
FOOD AND DRUG ADMINISTRATION,"LONG BEACH, CA",24167,0.0
FOOD AND DRUG ADMINISTRATION,"SAN DIEGO, CA",6374,0.0
NATIONAL PARK SERVICE,"FORT COLLINS, CO",65720,0.0
GEOLOGICAL SURVEY,"TALLAHASSEE, FL",3802,0.0
OFFICE OF THE SECRETARY,"ATLANTA, GA",25422,0.0
MINE SAFETY HEALTH ADMINISTRATION,"VINCENNES, IN",17029,0.0
FOOD AND DRUG ADMINISTRATION,"LOUISVILLE, KY",3938,0.0
UNITED STATES FISH AND WILDLIFE SERVICE,"BALTIMORE, MD",1812,0.0
OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION,"LINTHICUM HEIGHTS, MD",3500,0.0
BUREAU OF INDIAN AFFAIRS,"BARAGA, MI",1200,0.0
NATIONAL PARK SERVICE,"ST. PAUL, MN",9834,0.0
FEDERAL HIGHWAY ADMINISTRATION,"ST. PAUL, MN",4246,0.0
GEOLOGICAL SURVEY,"BOZEMAN, MT",15605,0.0
FOOD AND DRUG ADMINISTRATION,"OMAHA, NE",1875,0.0
FEDERAL HIGHWAY ADMINISTRATION,"SANTA FE, NM",5847,0.0
RAILROAD RETIREMENT BOARD,"CINCINNATI, OH",1428,0.0
OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION,"INDEPENDENCE, OH",6573,0.0
SMALL BUSINESS ADMINISTRATION,"CLEVELAND, OH",5722,0.0
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,"TULSA, OK",5682,0.0
SMALL BUSINESS ADMINISTRATION,"NORTH CHARLESTON, SC",465,0.0
DEPARTMENTAL MANAGEMENT (IG),"SIOUX FALLS, SD",1217,0.0
FEDERAL RAILROAD ADMINISTRATION,"FORT WORTH, TX",5835,0.0
OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION,"HOUSTON, TX",7201,0.0
OFFICE OF INSPECTOR GENERAL,"GRAND PRAIRIE, TX",6418,0.0
GEOLOGICAL SURVEY,"RICHMOND, VA",19277,0.0
NATIONAL LABOR RELATIONS BOARD,"MILWAUKEE, WI",10226,0.0
FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,"CHARLESTON, WV",1692,0.0
GEOLOGICAL SURVEY,"CHARLESTON, WV",10875,0.0
FEDERAL LABOR RELATIONS AUTHORITY,"CHICAGO, IL",4651,0.0
RAILROAD RETIREMENT BOARD,"JACKSONVILLE, FL",2307,0.0
BUREAU OF LAND MANAGEMENT,"BAKER CITY, OR",7030,819743.0
BUREAU OF INDIAN AFFAIRS,"LAPWAI, ID",6068,859616.0
UNITED STATES FISH AND WILDLIFE SERVICE,"FAIRHOPE, AL",5132,0.0
UNITED STATES FISH AND WILDLIFE SERVICE,"PANAMA CITY, FL",13000,0.0
UNITED STATES FISH AND WILDLIFE SERVICE,"JACKSONVILLE, FL",2700,0.0
GEOLOGICAL SURVEY,"LOUISVILLE, KY",21950,0.0
UNITED STATES FISH AND WILDLIFE SERVICE,"WINONA, MN",6827,0.0
UNITED STATES FISH AND WILDLIFE SERVICE,"VALLEY STREAM, NY",9493,0.0
GEOLOGICAL SURVEY,"OSWEGO, NY",4875,0.0
GEOLOGICAL SURVEY,"POTSDAM, NY",1748,0.0
NATIONAL PARK SERVICE,"SOMERSET, PA",2361,0.0
UNITED STATES FISH AND WILDLIFE SERVICE,"GLOUCESTER, VA",11281,0.0
UNITED STATES FISH AND WILDLIFE SERVICE,"RICHMOND, VA",4380,0.0
NATIONAL PARK SERVICE,"ST. PAUL, MN",2863,0.0
UNITED STATES FISH AND WILDLIFE SERVICE,"CHELSEA, MA",2500,222380.0
OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION,"LITTLE ROCK, AR",8352,0.0
OFFICE OF THE SOLICITOR,"LAKEWOOD, CO",18144,0.0
ALCOHOL AND TOBACCO TAX AND TRADE BUREAU,"TAMPA, FL",2678,0.0
RAILROAD RETIREMENT BOARD,"ST. PAUL, MN",3006,0.0
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,"WASHINGTON, DC",76200,0.0
MINE SAFETY HEALTH ADMINISTRATION,"MESA, AZ",4384,306880.0
ENVIRONMENTAL PROTECTION AGENCY,"NORCROSS, GA",15120,0.0
UNITED STATES FISH AND WILDLIFE SERVICE,"LANDER, WY",7601,759956.0
ALCOHOL AND TOBACCO TAX AND TRADE BUREAU,"GREENSBORO, NC",2696,312252.0
OFFICE OF THE INSPECTOR GENERAL,"WASHINGTON, DC",33675,0.0
MINE SAFETY HEALTH ADMINISTRATION,"ROCK VIEW, WV",20781,0.0
NATIONAL PARK SERVICE,"MOAB, UT",35358,7986960.0
NATIONAL PARK SERVICE,"CAMP VERDE, AZ",2300,96602.0
OFFICE OF NATURAL RESOURCES AND REVENUE,"HOUSTON, TX",22809,1960023.0
NATIONAL PARK SERVICE,"CHARLES TOWN, WV",39037,9396239.0
MINE SAFETY HEALTH ADMINISTRATION,"ELKO, NV",3192,452740.0
GEOLOGICAL SURVEY,"OKLAHOMA CITY, OK",16925,1283974.0
"EMPLOY. STANDARDS ADMIN., OFC OF WORKERS' COMP. PRGMS","LAS VEGAS, NV",1513,293026.0
MINE SAFETY HEALTH ADMINISTRATION,"HENDERSON, NV",2821,84853.0
MINE SAFETY HEALTH ADMINISTRATION,"WARRENDALE, PA",11380,1228070.0
RAILROAD RETIREMENT BOARD,"ALTOONA, PA",2541,286011.0
MINE SAFETY HEALTH ADMINISTRATION,"STURGIS, KY",3849,0.0
"EMPLOY. STANDARDS ADMIN., OFC OF WORKERS' COMP. PRGMS","OAK RIDGE, TN",2164,208750.0
OFFICE OF INSPECTOR GENERAL,"FORT LAUDERDALE, FL",15336,2643392.0
UNITED STATES FISH AND WILDLIFE SERVICE,"PALM SPRINGS, CA",5310,393365.0
ENVIRONMENTAL PROTECTION AGENCY,"ERLANGER, KY",24416,889450.0
DEPARTMENT OF JUSTICE,"WASHINGTON, DC",62124,0.0
OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION,"CENTER VALLEY, PA",5088,0.0
ENVIRONMENTAL PROTECTION AGENCY,"INDIANAPOLIS, IN",2407,57019.0
"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI","INDIANAPOLIS, IN",2409,140472.0
