Agency,Description,Uploaded On,Link,Saved
Department of Health and Human Services,LABOR HOUR AWARDOFFICE OF FINANCIAL MANAGEMENT (OFM) FINANCIAL SYSTEMS BUSINESS (FMS) ? FINANCIAL TOOLS BUSINESS OPERATIONS SUPPORTCOR: BRIMA TURAY BRIMA.TURAY@FDA.HHS.GOV,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7524&PIID=75F40123F19007&modNumber=P00003&idvAgencyID=&idvPIID=75F40120A00041&contractType=AWARD,0.0
Department of Health and Human Services,"SUPPORTING AND EVALUATING AHRQ'S INITIATIVE TO IMPLEMENT NEW MODELS OF COMPREHENSIVE, COORDINATED, PERSON-CENTERED CARE FOR PEOPLE WITH LONG COVID",2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7528&PIID=75Q80123F80014&modNumber=P00002&idvAgencyID=&idvPIID=GS00F216GA&contractType=AWARD,4671177.0
Department of Health and Human Services,"SCHULER SOLUTIONS, LLC:1305944 [23-003687]",2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N98023F00161&modNumber=P00009&idvAgencyID=&idvPIID=47QRAA18D001Z&contractType=AWARD,1591262.0
Department of Health and Human Services,ORR SENIOR EXECUTIVE LEADERSHIP AND SUPERVISORY COACHING TRAINING PROGRAM.,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7590&PIID=75ACF124P00004&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,1889906.0
Department of Health and Human Services,Meeting and logistic support,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30122C14830&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,1031379.0
Department of Health and Human Services,TECHNICAL ASSISTANCE FOR 508 REMEDIATION SERVICES FOR CTP DOCUMENTS AND VIDEOS,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7524&PIID=75F40125F19002&modNumber=P00001&idvAgencyID=&idvPIID=75F40123D00021&contractType=AWARD,0.0
Department of Health and Human Services,"FISCALNOTE, INC.:1290009 [21-001688]",2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N98021P01935&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,821568.0
Department of Health and Human Services,CDER-WIDE IMPLEMENTATION OF THE NEWLY IDENTIFIED SAFETY SIGNAL (NISS) MANUAL OF POLICIES AND PROCEDURE (MAPP) AND SUPPORT OF THE DRUG RISK MANAGEMENT BOARD (DRMB),2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7524&PIID=75F40123F19065&modNumber=P00002&idvAgencyID=&idvPIID=75F40122A00009&contractType=AWARD,1679.0
Department of Health and Human Services,NIH BIOMEDICAL RESEARCH ADVANCED INFORMATION NETWORK (BRAIN) OPERATION & MAINTENANCE SUPPORT (O&M) SERVICES,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N98022F00173&modNumber=P00004&idvAgencyID=&idvPIID=GS10F0283W&contractType=AWARD,296111.0
Department of Health and Human Services,PROFESSIONAL SUPPORT SERVICES FOR THE COLLABORATING OFFICE FOR MEDICAL EXAMINERS AND CORONERS (COMEC).,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124C20010&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,671088.0
Department of Health and Human Services,"Services are not ""consulting"" according to FAR 31.205; and provides non-essential executive assistant support to the Division of Regulatory Science and Compliance, and it maintains administrative functions for the division.",2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30121P11779&modNumber=P00007&idvAgencyID=&idvPIID=&contractType=AWARD,151865.0
Department of Health and Human Services,This meeting support contract is to operationalize the Board of Scientific Counselors for the Office of Readiness and Response,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30122P13418&modNumber=P00008&idvAgencyID=&idvPIID=&contractType=AWARD,42685.0
Department of Health and Human Services,MEPS Consultant to Provide Analytic Expertise on Dental Care Utilization,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7528&PIID=75Q80121P00004&modNumber=P00008&idvAgencyID=&idvPIID=&contractType=AWARD,0.0
Department of Health and Human Services,"The purpose of this contract is to inform a climate and health equity training and implementation program (Climate Action, Readiness and Equity [CARE] SG Chartered Advisory Group) to mobilize Public Health Service officers from United States Public Health Service (USPHS) Commissioned Corps and staff as leaders in climate and health equity action. This project will determine the knowledge of climate change, environmental justice, and health equity of Public Health Service officers. A needs assessment will be conducted including Public Health Service officers who comprise 11 different professional categories, are assigned to over 20 federal agencies, 10 domestic regional geographic areas and numerous international areas, and consist of junior and senior officers based upon rank.",2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7570&PIID=75P00124F37008&modNumber=P00002&idvAgencyID=&idvPIID=75P00123A00007&contractType=AWARD,61324.0
Department of Health and Human Services,DRUG TESTING SERVICES - CHABADO GENOMICS - AUDIT A-09-24-03003,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7504&PIID=75040124F46059&modNumber=P00001&idvAgencyID=&idvPIID=75040122D00001&contractType=AWARD,0.0
Department of Health and Human Services,"THE WORK TO BE PERFORMED WILL REQUIRE THE CONTRACTOR TO GATHER DATA RELATED TO OFFICE OF BUDGET POLICIES, PRACTICES, AND CULTURAL NORMS, ANALYZE THESE DATA, AND PRODUCE RECOMMENDATIONS TO IMPROVE EQUITY IN THE OFFICE.",2/19/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7570&PIID=75P00123C00024&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,213668.0
Department of Health and Human Services,Coaching Services for OFBA Staff,2/19/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7524&PIID=75F40124F19004&modNumber=P00001&idvAgencyID=&idvPIID=75F40123A00010&contractType=AWARD,0.0
Department of Health and Human Services,Executive Coaching and Training,2/19/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7570&PIID=75P00124C00017&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,224717.0
Department of Health and Human Services,UNITE SCIENCE MANAGEMENT AND RESEARCH ADMINISTRATION SUPPORT SERVICES,2/19/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N95023P00708&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,0.0
Department of Health and Human Services,DEVELOPMENT OF STRATEGIES IN HANDLING HIGH PROFILE CONSENT DECREES TASK ORDER,2/20/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7524&PIID=75F40121F80457&modNumber=P00007&idvAgencyID=&idvPIID=GS10F0273V&contractType=AWARD,678181.0
Department of Health and Human Services,CENTER FOR DEVICES AND RADIOLOGICAL HEALTH (CDRH) - ISO AUDIT OF CDRH QUALITY MANAGEMENT SYSTEM SUPPORT SERVICES,2/20/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7524&PIID=75F40124F80185&modNumber=P00002&idvAgencyID=&idvPIID=GS00F359GA&contractType=AWARD,144212.0
Department of Health and Human Services,Survey Management Software,2/20/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124F19417&modNumber=P00001&idvAgencyID=&idvPIID=47QSWA18D008F&contractType=AWARD,0.0
Department of Health and Human Services,MEDIA MONITORING SERVICES,2/20/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124P18565&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,107611.0
Department of Health and Human Services,"THE PURPOSE OF THIS DOCUMENT IS TO PURCHASE THE ONLINE PUBLICATION POLITICO PRO SUBSCRIPTION SERVICES. THE CTP/OCD REQUIRES THE ONLINE SUBSCRIPTION SYSTEM ACCESS TO RECEIVE BREAKING NEWS AND REAL TIME REPORTING, EXCLUSIVE CONTENT, AND TO TRACK FEDERA",2/20/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7524&PIID=75F40122P00022&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD,0.0
Department of Health and Human Services,WESTLAW SUBSCRIPTION 12 MONTH RENEWAL,2/20/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N98024P03129&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,0.0
Department of Health and Human Services,"THIS FIRM FIXED PRICE DELIVERY ORDER IS AWARDED IN ACCORDANCE WITH FAR 8.405 ORDERING AND, PURSUANT TO GSA SCHEDULE # GS-00F-354CA FOR SEED PROGRAM EVALUATION SUPPORT SERVICES TO RESEARCH TRIANGLE INSTITUTE INTERNATIONAL IN THE AMOUNT OF $2,490,382.2",2/21/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N94024F00062&modNumber=P00002&idvAgencyID=&idvPIID=GS00F354CA&contractType=AWARD,3956062.0
Department of Health and Human Services,TECHNICAL REVIEW AND ANALYSIS SUPPORT WITH MANAGEMENT SUPPORT SERVICES TO ORA OFFICES AND DISTRICT OFFICES IN CONDUCTING FIELD ACTIVITIES,2/21/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7524&PIID=75F40123C00098&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD,1471169.0
Department of Health and Human Services,EXECUTIVE COACHING AND ORGANIZATIONAL DEVELOPMENT,2/21/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N95023P00670&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,216119.0
Department of Health and Human Services,National Institute on Aging (NIA) Organizational Development Support,2/21/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N95024D00040&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=IDV,643752.0
Department of Health and Human Services,"The objectives of this contract are to facilitate the delivery of: (1) expert advice, assistance, guidance, coaching, and counseling in support of the NCATS mission-oriented business functions; and (2) training services including instructor led training, course development and administration, and learning management.",2/21/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N95024F00146&modNumber=P00001&idvAgencyID=&idvPIID=47QRAA18D001Z&contractType=AWARD,57154.0
Department of Health and Human Services,THE CONTRACTOR SHALL PROVIDE SERVICES TO IMPLEMENT NEW FEATURES AND PRODUCTS SUPPORTING THE EXISTING SYSTEMS IN ACCORDANCE WITH THE STATEMENT OF WORK.,2/21/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7524&PIID=75F40121F19001&modNumber=P00004&idvAgencyID=&idvPIID=75F40119D10026&contractType=AWARD,0.0
Department of Health and Human Services,TITLE: SEED I-CORP ENTREPRENEURSHIP/BOOT CAMP PROGRAM,2/21/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N94024P00690&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,320000.0
Department of Health and Human Services,"THE DEIA TEAM REQUIRES A CONSULTANT AND FACILITATOR TO ASSIST THEM IN ESTABLISHING AND REFINE ITS VISION AND MISSION, CLARIFYING ROLES",2/21/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N95D23F00064&modNumber=P00002&idvAgencyID=&idvPIID=GS10F0165V&contractType=AWARD,119141.0
Department of Health and Human Services,Executive coaching,2/21/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N98024F00015&modNumber=P00001&idvAgencyID=&idvPIID=75N98023D00042&contractType=AWARD,0.0
Department of Health and Human Services,TO 56 SERVICES OF ABOVE STANDARD EQUIPMENT AT THE FDA WHITE OAK CAMPUS - BLDG. 2 ROOM G301 REPLACE VALVE B-11,2/21/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7524&PIID=75F40124F19056&modNumber=P00001&idvAgencyID=&idvPIID=75F40119A10003&contractType=AWARD,0.0
Department of Health and Human Services,Executive coaching,2/21/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N98024F00019&modNumber=P00001&idvAgencyID=&idvPIID=75N98023D00042&contractType=AWARD,0.0
Department of Health and Human Services,"Organization & Mgmt Audit, Advertisement & Asst (OMA-3)",2/23/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7590&PIID=75ACF124P00001&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,5573191.0
Department of Health and Human Services,Hiring Tiger Team (HiTT),2/23/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7590&PIID=75ACF124P00006&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,2895361.0
Department of Health and Human Services,Foster Care Awareness,2/23/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7590&PIID=75ACF124F80042&modNumber=P00002&idvAgencyID=&idvPIID=47QRAA18D00FZ&contractType=AWARD,3026297.0
Department of Health and Human Services,Child Welfare Research & Data Analytics,2/23/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7590&PIID=75ACF125F80003&modNumber=P00002&idvAgencyID=&idvPIID=47QRAA18D003Z&contractType=AWARD,1953895.0
Department of Health and Human Services,PROFESSIONAL Services Support,2/23/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7570&PIID=75P00120C00088&modNumber=P00008&idvAgencyID=&idvPIID=&contractType=AWARD,128726.0
Department of Health and Human Services,Survey Administration and Medicaid Data Linking Services,2/23/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=4732&PIID=47QFEA24F0004&modNumber=0&idvAgencyID=&idvPIID=47QFEA24A0001&contractType=AWARD,0.0
Department of Health and Human Services,"TECHNICAL, PROFESSIONAL AND SCIENTIFIC SERVICES IN SUPPORT OF STRATEGIES AND APPROACHES TO REDUCE OBESITY",2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30121F12557&modNumber=P00008&idvAgencyID=&idvPIID=47QRAA20D003W&contractType=AWARD,5952610.0
Department of Health and Human Services,"The Beneficiary and Family Centered Care (BFCC) Audit and Interrater Reliability (AIRR) review contractor will conduct audits in specific BFCC-Quality Improvement Organization (BFCC-QIO) service areas to determine if the (BFCC-QIOs operations, programs or projects are functioning effectively and efficiently. These audits will include a review of a designated number of cases claims per contracted service area. The audits will use Inter-rater reliability reviews of Beneficiary Appeals and Short Stay claims to assess the validity and accuracy of the BFCC-QIOs reviews. The AIRR contractor will also systematically screen medical records for adverse patient safety events that occurred in hospitals and other settings using a standardized process and review each medical record that is positive for an adverse patient safety event to determine “the completeness, adequacy and quality of the care provided.”""",2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7530&PIID=75FCMC24F0155&modNumber=P00002&idvAgencyID=&idvPIID=GS10F096CA&contractType=AWARD,11170140.0
Department of Health and Human Services,TRAINING AND COACHING,2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N98023D00042&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=IDV,0.0
Department of Health and Human Services,"The BFCC-SC shall administer surveys, collect customer service experience using surveys that target stakeholders engaged with the BFCC-QIOs or any other CMS quality improvement contractors. The BFCC-SC services are national in scope and cover contracted areas throughout the United States including territories. The BFCC-SC shall serve as a source of information for identifying gaps and achievements based on survey of satisfaction surveys to achieve CMS’ aims. The SC will serve as a driver of the CCSQ iQIIG strategic vision and goals assisting in the creation of widespread quality improvement in the QIO program supporting over 50 million Medicare beneficiaries. The BFCC-SC shall collaborate with BFCC-QIOs, advise CMS on opportunities for improving the program, and identify best practices for possible dissemination amongst the QIOs. Additionally, the BFCC-SC will contribute to the knowledgebase of QIO programs any best practices of what works well regarding providing direct assistance to Medicare beneficiaries.",2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7530&PIID=75FCMC24F0147&modNumber=P00002&idvAgencyID=&idvPIID=GS10F053BA&contractType=AWARD,7972999.0
Department of Health and Human Services,"Acquisition, Coordination, and Tactical Support (ACTS) 13th Statement of Work.",2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7530&PIID=75FCMC23F0143&modNumber=P00006&idvAgencyID=&idvPIID=47QRAA21D00AT&contractType=AWARD,1339969.0
Department of Health and Human Services,Provider Compliance Group Data Analysis (PCG DA),2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7530&PIID=75FCMC22C0006&modNumber=P00011&idvAgencyID=&idvPIID=&contractType=AWARD,0.0
Department of Health and Human Services,PCG Comparative Billing Report and Program for Evaluating Payment Patterns Electronic Report Data Analysis (PCG CBR PEPPER DA) Contract,2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7530&PIID=75FCMC22C0047&modNumber=P00011&idvAgencyID=&idvPIID=&contractType=AWARD,1012722.0
Department of Health and Human Services,TRANSLATION SERVICES AND SMALL SCALE EVENT LOGISTICS,2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7590&PIID=75ACF124D00006&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=IDV,0.0
Department of Health and Human Services,LEADERSHIP SCHOOL,2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124C20121&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,1394683.0
Department of Health and Human Services,SCHOOL HEALTH BRANCH (SHB) SUPPORT SERVICES,2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30120C07459&modNumber=P00008&idvAgencyID=&idvPIID=&contractType=AWARD,0.0
Department of Health and Human Services,NIDA Youth Art and Community Project Competitions,2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N95024P00621&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,1304600.0
Department of Health and Human Services,ERGONOMIC SERVICES,2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7524&PIID=75F40120C00197&modNumber=P00008&idvAgencyID=&idvPIID=&contractType=AWARD,0.0
Department of Health and Human Services,EXEC AND OFFICE SUPPORT FOR OADC,2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30120C09477&modNumber=P00008&idvAgencyID=&idvPIID=&contractType=AWARD,0.0
Department of Health and Human Services,"LOGISTICAL AND CONFERENCE SUPPORT FOR THE NATIONAL INSTITUTE ON DRUG ABUSE (NIDA), OFFICE OF DIVERSITY AND HEALTH DISPARITIES (ODHD)",2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N95021C00010&modNumber=P00011&idvAgencyID=&idvPIID=&contractType=AWARD,0.0
Department of Health and Human Services,"Scientific, Administrative, Operational Resources (SOAR): This position is to develop an automated data quality analysis tool; collaborate closely with a team to devise study designs, create data analysis plans, and draft manuscripts applying a data quality analysis framework to cancer phenotypes; provide guidance on data standards for the program; guide scientific rigor of the program; organize a virtual symposium for Small Grant Program awardees.",2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N95024F00103&modNumber=P00001&idvAgencyID=&idvPIID=75N95021D00010&contractType=AWARD,839309.0
Department of Health and Human Services,"Scientific, Administrative, Operational Resources (SOAR) : The Health Science Policy Analyst will provide science policy expertise as it pertains to issues of significance for the All of Us Research Program, the NIH, and the biomedical research community. The resource will serve in the Ethical, Legal, and Social Implications (ELSI) Team, which is responsible for overseeing ELSI integration into the activities of the All of Us Research Program through governance, scholarship, policy development, and practical implementation.",2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N95024F00030&modNumber=P00004&idvAgencyID=&idvPIID=75N95021D00012&contractType=AWARD,721439.0
Department of Health and Human Services,EVALUATION METHODS,2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123F17206&modNumber=P00002&idvAgencyID=&idvPIID=GS00Q14OADU213&contractType=AWARD,0.0
Department of Health and Human Services,OCS HEALTH COMMUNICATION SUPPORT,2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30120C09453&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD,0.0
Department of Health and Human Services,Retail scanner data for tobacco and cessation products,2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30122C15327&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,0.0
Department of Health and Human Services,FUTURE OF WORK BPA CALL - NCCDPHP/DDT,2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30122F14994&modNumber=P00004&idvAgencyID=&idvPIID=75D30120A07341&contractType=AWARD,0.0
Department of Health and Human Services,"Scientific, Administrative, Operational Resources (SOAR) : Providing compliance support services necessary to ensure the practices and procedures are compliant with federal laws for the specialized area of ""Other Transaction"" awards",2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N95024F00043&modNumber=P00001&idvAgencyID=&idvPIID=75N95021D00019&contractType=AWARD,542040.0
Department of Health and Human Services,"Scientific, Administrative, Operational Resources (SOAR): Manage health communications and content creation for the office",2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N95024F00140&modNumber=P00001&idvAgencyID=&idvPIID=75N95021D00012&contractType=AWARD,350980.0
Department of Health and Human Services,EXPLORATORY EVALUATION OF COMMUNITY-BASED INTERVENTIONS FOR (CVD) HYPERTENSION,2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124F19235&modNumber=P00001&idvAgencyID=&idvPIID=GS00F009DA&contractType=AWARD,314228.0
Department of Health and Human Services,"Scientific, Administrative, Operational Resources (SOAR) : Ad hoc report development on ORWH meetings",2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N95024F00112&modNumber=P00001&idvAgencyID=&idvPIID=75N95021D00011&contractType=AWARD,440852.0
Department of Health and Human Services,EXAMINING THE IMPLEMENTATION OF STATE TELEHEALTH POLICY,2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123F16330&modNumber=P00002&idvAgencyID=&idvPIID=GS00Q14OADU119&contractType=AWARD,0.0
Department of Health and Human Services,RESEARCH DATA REVIEW AND PUBLICATION SUPPORT FOR NIDA IRP,2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N95020P00190&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD,0.0
Department of Health and Human Services,TRANSLATING KNOWLEDGE TO ACTION: FACILITATING IMPLEMATATION OF THE CHW FINANCIAL SUSTAINABILITY FRAMEWORK,2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123P18077&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,0.0
Department of Health and Human Services,COMMUNITY OF PRACTICE: ADVANCING HEALTH,2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123P17059&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,0.0
Department of Health and Human Services,HEALTH EQUITY RESEARCH AND DATA ANALYTICS,2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124P19714&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,0.0
Department of Health and Human Services,"Consultation services of a recognized expert who is highly experienced in (1) legislative research and analysis (2)Medicare & Medicaid Public Policy Analysis and Development(3) Economic Impact Analysis and (4) Regulations Writing who has in depth knowledge of the operations, policies, regulations, and statutes governing the Medicare & Medicaid program areas. The incumbent will be responsible for providing analytical and technical support to Director and Deputy Director of OSORA and must provide guidance and assistance on regulatory impact analysis and guidance and advice on the retrospective review. One major component of this effort involves conducting research and analysis of legislative mandates that are a result of new legislation and determining the impact upon present Medicare and Medicaid programs.",2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7530&PIID=75FCMC23P0008&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,98792.0
Department of Health and Human Services,"Scientific, Administrative, Operational Resources (SOAR) : Providing compliance support services necessary to ensure the practices and procedures are compliant with federal laws for the specialized area of ""Other Transaction"" awards",2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N95025F00016&modNumber=P00001&idvAgencyID=&idvPIID=75N95021D00011&contractType=AWARD,125241.0
Department of Health and Human Services,"THE PURPOSE OF THIS PROJECT IS TO IMPROVE OHS EFFECTIVENESS AND MANAGEMENT OF GRANTS FOR OHS. THE CONTRACTOR SHALL: (1) PROVIDE PROGRAM SPECIALIST AND INFORMATION MANAGEMENT SERVICES PROFESSIONALLY AND EFFICIENTLY IN ACCORDANCE WITH APPLICABLE LAWS,",2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7590&PIID=75ACF124F59001&modNumber=P00001&idvAgencyID=&idvPIID=75ACF124D00006&contractType=AWARD,0.0
Department of Health and Human Services,"To acquire Work Culture and Climate Survey Services Related to NIDA's Diversity, Equity, Inclusion, and Accessibility (DEIA) Efforts",2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N95024F00111&modNumber=P00001&idvAgencyID=&idvPIID=GS00F221CA&contractType=AWARD,0.0
Department of Health and Human Services,Management Consulting and Executive Coaching,2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N95024P00244&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,13750.0
Department of Health and Human Services,Management Consulting and Professional Development Services,2/24/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N95024P00423&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,12375.0
Department of Health and Human Services,GLOBAL YOUTH TOBACCO SURVEY SUPPORT CONTRACT,2/25/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124F20013&modNumber=P00001&idvAgencyID=&idvPIID=GS00F354CA&contractType=AWARD,1779219.0
Department of Health and Human Services,MH PUBLIC HEALTH ANALYST SUPPORT SERVICES,2/25/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30121C10262&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD,348281.0
