AGENCY,RECIPIENT,AWARD DESCRIPTION,PAYMENT DATE,PAYMENT
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Association of Public Health Laboratories, Inc. (THE)",Private Non-Profit - Planning and Administrative Organization,3/7/2025,428850.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Association of Public Health Laboratories, Inc. (THE)",Private Non-Profit - Planning and Administrative Organization,3/7/2025,61263.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Association of Public Health Laboratories, Inc. (THE)",Private Non-Profit - Planning and Administrative Organization,3/7/2025,66397.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Association of Public Health Laboratories, Inc. (THE)",Private Non-Profit - Planning and Administrative Organization,3/7/2025,716557.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Association of Public Health Laboratories, Inc. (THE)",Private Non-Profit - Planning and Administrative Organization,3/7/2025,77409.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Association of Public Health Laboratories, Inc. (THE)",Private Non-Profit - Planning and Administrative Organization,3/7/2025,48929.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Association of Public Health Laboratories, Inc. (THE)",Private Non-Profit - Planning and Administrative Organization,3/7/2025,223200.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Association of Public Health Laboratories, Inc. (THE)",Private Non-Profit - Planning and Administrative Organization,3/7/2025,75986.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Association of Public Health Laboratories, Inc. (THE)",Private Non-Profit - Planning and Administrative Organization,3/7/2025,180096.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Association of Public Health Laboratories, Inc. (THE)",Private Non-Profit - Planning and Administrative Organization,3/7/2025,153743.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Association of Public Health Laboratories, Inc. (THE)",Private Non-Profit - Planning and Administrative Organization,3/7/2025,25051.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Association of Public Health Laboratories, Inc. (THE)",Private Non-Profit - Planning and Administrative Organization,3/7/2025,51211.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Association of Public Health Laboratories, Inc. (THE)",Private Non-Profit - Planning and Administrative Organization,3/7/2025,28028.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Association of Public Health Laboratories, Inc. (THE)",Private Non-Profit - Planning and Administrative Organization,3/7/2025,442155.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"LA ST DEPARTMENT OF EDUCATION, BUREAU OF ACCOUNTING",State - Educational Department,3/7/2025,4311.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,440853.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,142098.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,140685.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,82414.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,198200.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,6548.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,18245.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,19840.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,1703857.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,36669.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,7057.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,21844.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,27268.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,102668.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,78940.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,61809.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,81779.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,24122.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,352713.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,7950.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,195754.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,23180.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,70294.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,9195.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,3460.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,37198.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,10150.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,164354.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,11198.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,377956.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,17788.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,4165.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,10616.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,12911.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,152120.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,62605.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,44446.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,19033.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,195655.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,84080.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,50747.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,30752.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,5597.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,35273.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,19724.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,32260.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,8721.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,4811.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,15529.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,78263.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,11355.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,12511.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,6638.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,53606.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,125378.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,5180.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,19512.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,5595.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,104322.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,266204.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,24290.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,41977.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,HEALTH FEDERATION OF PHILADELPHIA,Private Non-Profit - Other Health Organization,3/7/2025,43002.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,CHASE-BREXTON CLINIC,"Public Non-Profit - Hospital, Clinic, Health Ctr, Institution, Mental Health Ctr",3/7/2025,13917.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF MIAMI,"Private Non-Profit - University, College, Jr. College",3/7/2025,401.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MS ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,163.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MS ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,317.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MONTCLAIR STATE UNIVERSITY,"State - University, College, Jr. College",3/7/2025,5150.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,74410.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,115934.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,31338.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,2730.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,22138.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,48960.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,65908.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,774524.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,21260.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,60627.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,30415.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,10254.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,508735.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,11535.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,1081.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,22544.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,4395.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,576817.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,2626.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,7711.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,66416.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,11783.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,2155.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,5394.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,4320.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,49296.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,274702.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,441375.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,16340.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,41250.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,109855.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,91054.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,10518.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,5540.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,27659.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,7631.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,7808.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,23699.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,21985.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,5433.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,3280.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,4564.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,9176.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,11004.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,204530.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DEPARTMENT OF HEALTH NEW MEXICO,State - Health Department,3/7/2025,11954.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"NATIVE AMERICAN COMMUNITY HEALTH CENTER,",Private Non-Profit - Other Health Organization,3/7/2025,11925.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF NEW MEXICO (THE),"State - University, College, Jr. College",3/7/2025,51232.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF NEW MEXICO (THE),"State - University, College, Jr. College",3/7/2025,3180.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MINOT STATE UNIVERSITY,"State - University, College, Jr. College",3/7/2025,9772.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OHIO UNIVERSITY,"State - University, College, Jr. College",3/7/2025,11054.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF OREGON,"State - University, College, Jr. College",3/7/2025,166.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OREGON HEALTH & SCIENCE UNIVERSITY,"State - University, College, Jr. College",3/7/2025,321.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OREGON HEALTH & SCIENCE UNIVERSITY,"State - University, College, Jr. College",3/7/2025,57.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/7/2025,9182.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"TO OUR CHILDREN'S FUTURE WITH HEALTH, INC",Private Non-Profit - Other Social Services Organization,3/7/2025,18580.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,2015.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,598601.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,18577.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,599794.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,2757.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,1159.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,19.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,95.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,383.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,5120.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,5.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,1783.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,23692.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,1042.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,62.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,120.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,1.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,511776.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,857.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,20.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,111381.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,285144.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,230.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,522.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,6192.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,1067.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,6386.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,2463.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,16.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,1537.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,330.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,56.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,2070.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,70902.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,836.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,160.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,37.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,12.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,1890.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,10474.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH RESEARCH, INC.","Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/7/2025,130886.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"ASPIRA OF PUERTO RICO, INC",Private Non-Profit - Community Action Organization,3/7/2025,7825.0
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"NATIONAL MINORITY AIDS COUNCIL, INC",Private Non-Profit - Other Social Services Organization,3/7/2025,11007.0
