Agency,Recipient,Description,Date,SAVED
USAID,MOTHERS2MOTHERS SOUTH AFRICA,"M2M WILL BE THE LEAD PARTNER (PRIME)ON THE CHILDREN AND ADOLESCENTS ARE MY PRIORITY (HEREAFTER REFERRED TO AS OUR PROJECT, CHAMP)ACTIVITIES IN THE MPUMALANGA PROVINCE. CHAMP WILL IMPLEMENT EFFECTIVE CASE MANAGEMENT SYSTEMS TO ENSURE OVCA&Y ARE IDENTIFIED, THEIR NEEDS CORRECTLY ASSESSED, AND ARE ¿GRADUATED¿ USING LOCALLY AGREED CRITERIA. BY YEAR 3, REFERRAL PATHWAYS AND SYSTEMS FOR CROSS-SECTORAL CASE MANAGEMENT ARE SIGNIFICANTLY STRENGTHENED.",3/10/2025,1675484.0
DEPARTMENT OF AGRICULTURE,Nebraska Department of Health and Human Services,"THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALLY RECOGNIZED TRIBAL GOVERNMENTS TO EXPAND UPON PRIOR LOCAL FOOD PURCHASE ASSISTANCE PROGRAM WORK, AND TO PROVIDE AN OPPORTUNITY FOR STATE/TERRITORY AND FEDERALLY RECOGNIZED TRIBAL GOVERNMENTS WHO DID NOT PARTICIPATE IN THE LOCAL FOOD PURCHASE ASSISTANCE PROGRAM TO ESTABLISH PROJECTS THROUGH LFPA25. STATES, TERRITORIES, AND TRIBAL GOVERNMENTS WILL PURCHASE LOCAL, UNPROCESSED OR MINIMALLY PROCESSED DOMESTIC FOODS FROM LOCAL PRODUCERS, TARGETING HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. FOOD PURCHASED WILL TARGET DISTRIBUTION TO UNDERSERVED COMMUNITIES. QUARTERLY PERFORMANCE REPORTS WILL BE SUBMITTED TO CAPTURE THE VALUE OF PURCHASES (INCLUDING THE VALUE OF PURCHASES FROM HISTORICALLY UNDERSERVED PRODUCERS AND THE VALUE OF PURCHASES FROM SMALL BUSINESSES), THE NUMBER OF PRODUCERS (INCLUDING THE NUMBER OF HISTORICALLY UNDERSERVED PRODUCERS AND THE NUMBER OF SMALL BUSINESSES), THE VALUE OF FOOD DISTRIBUTIONS TO DATE, AND THE NUMBER OF UNIQUE LOCATIONS DISTRIBUTING FOOD TO DATE. IN ADDITION TO INCREASING LOCAL FOOD CONSUMPTION, FUNDS ARE EXPECTED TO HELP BUILD AND EXPAND ECONOMIC OPPORTUNITY FOR LOCAL AND HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. STATES, TERRITORIES, AND TRIBAL GOVERNMENTS MAY SUBAWARD WITH PARTNERS AND COLLABORATORS. PARTNERS AND COLLABORATORS MAY COME FROM PRIVATE OR PUBLIC, FOR-PROFIT, OR NONPROFIT ENTITIES.",3/17/2025,1674327.0
DEPARTMENT OF STATE,COALITION FOR INDEPENDENT LIVING,No description available,2/26/2025,1673250.5
DEPARTMENT OF STATE,NORSK FOLKEHJELP,No description available,2/26/2025,1672694.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"UNIVERSITY OF TEXAS, MEDICAL BRANCH AT GALVESTON",No description available,3/23/2025,1671714.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SOUTHERN NEVADA HEALTH DISTRICT,No description available,3/23/2025,1667089.0
DEPARTMENT OF STATE,INTERNATIONAL RESEARCH & EXCHANGE BO,No description available,2/26/2025,1664504.06
DEPARTMENT OF STATE,TRAFFIC INTERNATIONAL,TO ENSURE THAT NATIONAL AND REGIONAL TIMBER TRAFFICKING IS CONTROLLED THROUGH A ROBUST AND TRANSPARENT MANAGEMENT AND ENFORCEMENT SYSTEM.,2/26/2025,1663062.57
DEPARTMENT OF STATE,AMERICAN BAR ASSOCIATION FUND FOR JUSTICE AND EDUCATION,No description available,2/26/2025,1661896.98
DEPARTMENT OF STATE,HOWARD UNIVERSITY,No description available,2/26/2025,1660408.08
DEPARTMENT OF HEALTH AND HUMAN SERVICES,Prisma Health-Midlands,No description available,3/23/2025,1658373.0
DEPARTMENT OF STATE,"SAVE THE CHILDREN FEDERATION, INC.","INCREASED EQUITABLE AND SUSTAINED ACCESS TO EDUCATION AND PROTECTION FOR REFUGEE AND HOST COMMUNITY CHILDREN WHO ARE OUT OF SCHOOL OR AT RISK OF SCHOOL DROPOUT IN HATAY PROVINCE, TURKIYE.",2/26/2025,1656410.02
USAID,FONGS,"THE PURPOSE OF FEED THE FUTURE SENEGAL WOMEN AND NUTRITIVE AGRICULTURE/ SAXAL LEKK BU SELL AK JIGÉEN ÑI IS TO IMPROVE THE DIET ADEQUACY OF WOMEN OF REPRODUCTIVE AGE AND CHILDREN UNDER FIVE IN THE SALOUM DELTA, PART OF THE FTF ZONE OF INFLUENCE.",3/1/2025,1655930.5
DEPARTMENT OF STATE,INTERNATIONAL MEDICAL CORPS,"IMPROVING THE WELLBEING OF SOUTH SUDANESE REFUGEES AND ASYLUM SEEKERS LIVING IN NGUENYYIEL, TERKIDI, JEWI AND KULE REFUGEE CAMPS OF GAMBELLA THROUGH AN INTEGRATED SRH, MHPSS AND GBV SERVICE PROVISION.",2/26/2025,1650032.37
USAID,CRS - USCCB,"THE WAKILI - FEMME ET ENGAGEMENT PROJECT WILL ADDRESS THE ROOT CAUSES OF SOCIO-POLITICAL INSTABILITY IN THE TARGET REGIONS BY FOSTERING CONSTRUCTIVE ENGAGEMENT AMONG KEY CONFLICT ACTORS AND DIVIDED COMMUNITIES. THE ACTIVITY WILL APPLY THE METHODOLOGY FOR P2P PEACEBUILDING AND SOCIAL COHESION BINDING, BONDING, AND BRIDGING (3BS) COMBINED WITH THE APPRECIATIVE INQUIRY—DISCOVER, DREAM, DESIGN, AND DELIVER (4DS) TO STRENGTHEN VERTICAL AND HORIZONTAL SOCIAL COHESION, WHILE CONTRIBUTING TO PEACEFUL POLITICAL, ECONOMIC, AND SOCIAL OUTCOMES, PROGRESSING FROM THE INDIVIDUAL TO THE INTRA-GROUP AND INTER-GROUP LEVELS.",3/1/2025,1650000.0
USAID,MIARAKAP,"THE 5 YEARS-PROGRAM WILL BUILD ON MIARAKAP’S EXISTING INVESTMENT STRATEGY BY INCREASING FOCUS ON BUSINESSES WITH A POSITIVE IMPACT ON BIODIVERSITY CONSERVATION. MIARAKAP WILL, THEREFORE, PLAY THE ROLE OF AN “UMBRELLA INSTITUTION” THAT WILL IDENTIFY, SELECT, AND SUPPORT COMPANIES IN THEIR EFFORTS TO ESTABLISH A VIABLE BUSINESS THAT HAS POSITIVE IMPACTS ON BIODIVERSITY AND COMMUNITIES IN MADAGASCAR.",3/1/2025,1648000.0
DEPARTMENT OF STATE,THE WASHINGTON CENTER FOR INTERNSHIPS & ACADEMIC SEMINARS,DEVELOP FUTURE TALENT AT THE UNDERGRADUATE LEVEL FOR THE DEPARTMENT OF STATE'S FOREIGN OR CIVIL SERVICE THROUGH A PROGRAM OF PROFESSIONAL DEVELOPMENT AND PRACTICAL INTERNSHIP EXPERIENCE.,2/26/2025,1642510.0
DEPARTMENT OF DEFENSE,University of Washington,"RESEARCH, COORDINATION, DATA MANAGEMENT AND ENHANCEMENT OF THE INTERNATIONAL ARCTIC BUOY PROGRAMME (IABP): A US INTERAGENCY ARCTIC BUOY PROGRAMME (USIABP) CONTRIBUTION TO THE IABP 2023",3/23/2025,1641661.0
DEPARTMENT OF EDUCATION,AMERICAN UNIVERSITY,RESIDENCY FOR EXCELLENCE IN TEACHING AND LEARNING (RETL),2/12/2025,1637029.22
USAID,ANANDA MARGA UNIVERSAL RELIEF TEAM,USAID TUJITEGEMEE OVC AND DREAMS PROJECT IN MOMBASA AND KILIFI COUNTIES OF KENYA.,3/10/2025,1636441.0
DEPARTMENT OF EDUCATION,"UNIVERSITY OF MARYLAND, COLLEGE PARK",UMD SCHOOL IMPROVEMENT LEADERSHIP ACADEMY,2/10/2025,1634442.0
USAID,WORLD METEOROLOGICAL ORGANIZATION,NEW HYDROMET AWARD FOR WORLDWIDE SERVICES,3/1/2025,1626772.0
USAID,HUMANA PEOPLE TO PEOPLE CONGO,"REDUCE TB, IMPLEMENTED BY HPP-CONGO AND PARTNER APSME, WILL EMPOWER LOCAL COMMUNITIES AND HEALTH SERVICES TO FIND MISSING CASES AND SUPPORT TB PATIENTS AND THEIR HOUSEHOLDS TO SUCCESSFULLY COMPLETE TREATMENT.",3/1/2025,1626070.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,DELAWARE DEPARTMENT OF STATE,No description available,3/23/2025,1619636.0
DEPARTMENT OF STATE,INTERNATIONAL REPUBLICAN INSTITUTE,No description available,2/27/2025,1618658.0
USAID,FAMILY AIDS CARING TRUST,THE GOAL OF THE PROGRAM IS TO REDUCE THE NUMBER OF NEW INFECTIONS AMONG ADOLESCENT GIRLS AND YOUNG WOMEN.,3/1/2025,1618491.0
USAID,VERITAS ZIMBABWE,THE PURPOSE OF THIS PROGRAM IS TO FOSTER THE PROMOTION OF RESPECT FOR THE CONSTITUTION AND THE RIGHTS THEREIN. THE OBJECTIVES OF THIS ACTIVITY ARE TO: 1. INCREASE CIVIL SOCIETY ADVOCACY FOR CONSTITUTION-DRIVEN REFORM; 2. INCREASE CITIZEN AWARENESS OF AND DEMAND FOR CONSTITUTION-DRIVEN REFORM; AND 3. STRENGTHEN LOCAL INSTITUTIONS’ CAPACITY TO ADVANCE THE IMPLEMENTATION OF THE CONSTITUTION.,3/1/2025,1612164.0
DEPARTMENT OF STATE,FREEDOM HOUSE,No description available,2/26/2025,1607911.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,UNIVERSITY OF OREGON,No description available,3/23/2025,1607167.0
USAID,ANDA - ASSOCIACAO NACIONAL PARA O DESENVOLVIMENTO AUTO SUSTENTADO,USAID ORPHANS AND VULNERABLE CHILDREN RESPONSE IN MANICA,3/10/2025,1601284.0
USAID,HANOI UNIVERSITY OF PUBLIC HEALTH,USAID STRENGTHENING ONE HEALTH WORKFORCE,3/1/2025,1600000.0
USAID,"REGIONAL SECRETARIAT OF CORAL TRIANGLE INITIATIVE ON CORAL REEFS, FISHERIES AND FOOD SECURITY","NEW PIO GRANT WITH CTI-CFF: ""USAID SUSTAINABLE CORAL TRIANGLE""",3/1/2025,1600000.0
USAID,THE INTERNATIONAL CENTRE OF INSECT PHYSIOLOGY AND ECOLOGY,TO REDUCE DISASTER RISK AND IMPROVE THE LIVELIHOODS OF VULNERABLE FRUIT-PRODUCING HOUSEHOLDS AND COMMUNITIES METHYL EUGENOL (ME) FROM INDIGENOUS BASIL FOR FRUIT FLY DISASTER RISK REDUCTION AMONG VULNERABLE FRUIT PRODUCING HOUSEHOLD COMMUNITIES IN AFRICA.,3/1/2025,1600000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,UNIVERSITY OF ROCHESTER,No description available,3/23/2025,1598936.0
DEPARTMENT OF STATE,NATIONAL DEMOCRATIC INSTITUTE FOR INTERNATIONAL AFFAIRS,No description available,2/27/2025,1598646.0
DEPARTMENT OF STATE,"AMERICAN COUNCILS FOR INTERNATIONAL EDUCATION: ACTR/ACCELS,",TO SUPPORT AMERICAN COUNCILS FOR INTERNATIONAL EDUCATION IN ADMINISTERING THE EDUCATION LEADERSHIP DEVELOPMENT PROGRAM. LEVERAGING AMERICAN COUNCILS PRIOR WORK WITH TEACHERS AND ADMINISTRATORS IN UZBEKISTAN THROUGH ESN.,2/26/2025,1598525.84
HOUSING AND URBAN DEVELOPMENT,Technical Assistance Collaborative,SECTION 8 HOUSING CHOICE VOUCHERS,2/21/2025,1596139.0
DEPARTMENT OF STATE,AMERICAN UNIVERSITY,No description available,2/26/2025,1593872.41
USAID,NATURAL RESOURCE GOVERNANCE INSTITUTE,"THE GOAL OF THIS FOUR-YEAR ACTIVITY (TRANSPARENCY AND ACCOUNTABILITY IN THE EXTRACTIVE SECTOR) IS TO INCREASE TRANSPARENCY AND ACCOUNTABILITY MECHANISMS IN THE MINING, OIL AND GAS SECTORS FOR BETTER REVENUE MANAGEMENT AND DISTRIBUTION.",3/1/2025,1585264.0
USAID,TUSKEGEE UNIVERSITY,"THE PURPOSE OF THIS ACTIVITY IS TO STRENGTHEN AFU'S CAPACITY TO CONTRIBUTE TO NEPAL'S AGRICULTURAL DEVELOPMENT BY IMPROVING THE QUALITY OF AGRICULTURAL HIGHER EDUCATION, INCREASING AGRICULTURAL GRADUATES' EMPLOYABILITY, AND CONTRIBUTING TO RESEARCH AND EXTENSION ACTIVITIES THAT PLAY A CENTRAL ROLE IN NEPAL’S AGRICULTURAL AND ECONOMIC TRANSFORMATION. IT IS ANTICIPATED THAT DIRECT WORK WITH AFU WILL IN TURN ALSO CREATE SYSTEM-LEVEL CHANGE IN THE OVERALL HIGHER EDUCATION SYSTEM IN NEPAL.",3/1/2025,1584383.0
USAID,KENYA WILDLIFE SERVICE,COMBATING WILDLIFE CRIME IN KENYA PROGRAM,3/1/2025,1582426.0
DEPARTMENT OF STATE,PAN AMERICAN DEVELOPMENT FOUNDATION,"FOSTER SUSTAINABLE SOLUTIONS FOR HIGHLY VULNERABLE VENEZUELAN AND COLOMBIAN REFUGEES, ASYLUM SEEKERS, AND MIGRANTS IN PERU, PRIORITIZING SEPARATED, UNDOCUMENTED, OR UNACCOMPANIED CHILDREN AND ADOLESCENTS, LGBTQI+ INDIVIDUALS, AND THOSE AT-RISK.",2/26/2025,1575034.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,DEPARTMENT OF HEALTH NEW MEXICO,No description available,3/23/2025,1572924.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,1571080.0
DEPARTMENT OF STATE,INTERNEWS NETWORK,No description available,2/26/2025,1568365.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,UNIVERSITY OF NEBRASKA MEDICAL CENTER,No description available,3/23/2025,1567022.0
DEPARTMENT OF STATE,SOLIDARITY CENTER,No description available,2/26/2025,1565289.03
USAID,EQUAL ACCESS INTERNATIONAL,"THE GOAL OF R4P IS TO STRENGTHEN COMMUNITY RESILIENCE AND LEARNING, PARTICULARLY FOR YOUTH AND WOMEN, TO COUNTER VIOLENT EXTREMISM (CVE) AND PREVENT THE SPILL OVER OF VE FROM THE SAHEL IN COTE D’IVOIRE’S NORTHERN BORDER AREAS . THIS PROGRAM WILL REINFORCE RESILIENCE STRUCTURES AND FACTORS AS WELL AS BUILD IN LEARNING TO BETTER IDENTIFY ANY POCKETS OF RADICALIZATION AND VULNERABILITY.",3/1/2025,1560682.0
DEPARTMENT OF STATE,AMERICAN BAR ASSOCIATION FUND FOR JUSTICE AND EDUCATION,No description available,2/26/2025,1559887.49
DEPARTMENT OF HEALTH AND HUMAN SERVICES,AK ST DHSS,No description available,3/23/2025,1559878.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,1558334.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SEATTLE-KING COUNTY DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,1558147.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,National Association of County and City Health Official,No description available,3/23/2025,1556500.0
DEPARTMENT OF STATE,OFFICE OF THE UNITED NATIONS HIGH COMMISSIONER FOR HUMAN RIG,No description available,2/26/2025,1554957.0
USAID,CDE MIPYME REGION LEMPA,"STRENGTHEN PREVENTION AND RESPONSE TO THE MOST PREVALENT GBV INCLUDING INTIMATE PARTNER VIOLENCE, VIOLENCE AGAINST WOMEN AND GIRLS, AND VIOLENCE AGAINST LGBTQI+ PERSONS. USAID SEEKS TO STRENGTHEN INTEGRATED LOCAL RESPONSES TO COMBATING THE MOST PREVALENT GBV (INTIMATE PARTNER VIOLENCE, VIOLENCE AGAINST WOMEN AND GIRLS AND VIOLENCE AGAINST LGBTQI+ PERSONS) IN A WAY THAT UPHOLDS DO NO HARM PRINCIPLES AND INCLUDES AN INTERSECTIONALITY PERSPECTIVE ACROSS THE PREVENTION-TO-RESPONSE SPECTRUM AND SHOULD BE TRAUMA INFORMED, SURVIVOR-CENTERED AND PERPETRATOR-ENGAGING IN ORDER TO INCREASE THE CHANCE OF BREAKING THE CYCLE OF VIOLENCE.",3/1/2025,1551700.0
USAID,CONSORTIUM FOR ELECTIONS & POLITICAL PROCESS STRENGTHENING,"STEP GUINEA WITH THE OVERALL GOAL OF RETURNING GUINEA TO DEMOCRATIC RULE AND SUPPORTING INCREASED STABILITY IN THE COUNTRY AND THE SUB-REGION, WILL CONTRIBUTE TO TWO SPECIFIC OBJECTIVES: (1) A MORE INCLUSIVE, TRANSPARENT, AND CREDIBLE ELECTORAL PROCESS RESTORES DEMOCRATIC RULE IN GUINEA; AND (2) CITIZENS PARTICIPATE PEACEFULLY AND IN AN INFORMED MANNER IN ELECTIONS AND POLITICAL PROCESSES AS VOTERS AND CANDIDATES.",3/1/2025,1550520.0
USAID,CENTER FOR ALLIANCE OF LABOR AND HUMAN RIGHTS (CENTRAL),EMPOWERING CAMBODIAN CIVIL SOCIETY ACTORS AND NETWORKS (ECCS) ACTIVITY,3/1/2025,1550000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,KY ST CABINET FOR HEALTH AND FAMILY SERVICES,No description available,3/23/2025,1549589.0
DEPARTMENT OF DEFENSE,"University of Colorado, Boulder",NEW START MURI,3/23/2025,1547141.0
DEPARTMENT OF STATE,AMERICAN BAR ASSOCIATION FUND FOR JUSTICE AND EDUCATION,No description available,2/26/2025,1546813.97
HOUSING AND URBAN DEVELOPMENT,Technical Assistance Collaborative,No description available,2/26/2025,1544990.0
DEPARTMENT OF STATE,"AMERICAN COUNCILS FOR INTERNATIONAL EDUCATION: ACTR/ACCELS,",No description available,2/26/2025,1544153.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,TN ST DEPARTMENT OF HEALTH,No description available,3/23/2025,1537683.0
USAID,ACDI/VOCA,RESILIENCE LEARNING ACTIVITY,3/1/2025,1537568.0
DEPARTMENT OF EDUCATION,COLLEGE OF NEW JERSEY,RESIDENTS FOR INNOVATION IN URBAN SCHOOLS & STUDENT EMPOWERMENT (RISE) WILL SERVE AS A MODEL FOR SUSTAINABLE SCHOOL-UNIVERSITY PARTNERSHIPS THAT MEET THE NEEDS OF HIGH-NEEDS SCHOOL DISTRICTS.,2/12/2025,1537561.24
DEPARTMENT OF DEFENSE,Travis Unified School District,MILITARY-CONNECTED LOCAL EDUCATIONAL AGENCIES FOR ACADEMIC AND SUPPORT PROGRAMS (MCASP),3/23/2025,1535817.0
DEPARTMENT OF DEFENSE,Oceanside Unified School District,WORLD LANGUAGE ADVANCEMENT READINESS PROGRAM (WLARP),3/23/2025,1535817.0
DEPARTMENT OF DEFENSE,York County School Division,WORLD LANGUAGE ADVANCEMENT READINESS PROGRAM (WLARP),3/23/2025,1535817.0
DEPARTMENT OF STATE,HALO TRUST,No description available,2/26/2025,1535283.89
DEPARTMENT OF HEALTH AND HUMAN SERVICES,AK ST DHSS,No description available,3/23/2025,1535068.0
USAID,CONSORTIUM FOR ELECTIONS & POLITICAL PROCESS STRENGTHENING,STRENGTHENED DOMESTIC OBSERVATION OF ELECTORAL AND POLITICAL PROCESSES AND IMPROVED ISSUE-BASED CIVIC AND VOTER EDUCATION.,3/1/2025,1531114.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,PHILADELPHIA CITY DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,1530798.0
DEPARTMENT OF STATE,NATIONAL ENDOWMENT FOR DEMOC,No description available,2/26/2025,1529933.02
DEPARTMENT OF AGRICULTURE,Government of District of Columbia- Office of the State Superintendent of Education,"THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE AND TERRITORY GOVERNMENTS TO PURCHASE LOCAL, UNPROCESSED OR MINIMALLY PROCESSED DOME STIC FOODS FROM LOCAL PRODUCERS, TARGETING HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. FOOD PURCHASED WILL BE DISTRIBUTED TO SCHOOLS AND CHILD CARE INSTITUTIONS PARTICIPATING IN THE NATIONAL SCHOOL LUNCH PROGRAM OR CHILD AND ADULT CARE FOOD PROGRAM. QUARTERLY PERFORMANCE REPORTS WILL BE SUBMITTED TO CAPTURE THE VALUE OF PURCHASES (INCLUDING THE VALUE OF PURCHASES FROM HISTORICALLY UNDERSERVED PRODUCERS AND THE VALUE OF PURCHASES FROM SMALL BUSINESSES), AND THE NUMBER OF PRODUCERS (INCLUDING THE NUMBER OF HISTORICALLY UNDERSERVED PRODUCERS AND THE NUMBER OF SMALL BUSINESSES). IN ADDITION TO INCREASING LOCAL FOOD CONSUMPTION, FUNDS ARE EXPECTED TO HELP BUILD AND EXPAND ECONOMIC OPPORTUNITY FOR LOCAL AND HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. STATES AND TERRITORIES MAY SUBAWARD WITH PARTNERS AND COLLABORATORS. PARTNERS AND COLLABORATORS MAY COME FROM PRIVATE OR PUBLIC, FOR-PROFIT, OR NONPROFIT ENTITIES.",-,1529512.41
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MA ST DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,1524640.0
DEPARTMENT OF EDUCATION,THE COLUMBIA COLLEGE,"2022 TEACHER QUALITY PARTNERSHIP TO EXPAND, STRENGTHEN, DIVERSITY, AND EVALUATE THE IMPACT OF THE ALTERNATIVE PATHWAYS TO EDUCATOR CERTIFICATION (APEC) CENTER.",2/12/2025,1522887.4
DEPARTMENT OF STATE,UNESCO,No description available,2/26/2025,1515000.0
DEPARTMENT OF STATE,UNESCO,No description available,2/26/2025,1515000.0
USAID,ESCRITORIO NACIONAL,"THIS AWARD WILL PROVIDE FINANCIAL SUPPORT TO CARITAS BRASILEIRA FOR A PROGRAM ENTITLED, SUMAUMA: NOURISHING LIVES” IN BRAZIL. THE GOAL IS VULNERABLE VENEZUELAN MIGRANTS AND REFUGEES IN BRAZIL ARE ABLE TO MEET THEIR IMMEDIATE FOOD NEEDS. THE TOTAL NUMBER OF BENEFICIARIES THAT WILL BE SUPPORTED UNDER THIS AWARD IS 13,000.",3/10/2025,1514416.0
DEPARTMENT OF STATE,"ASIA FOUNDATION, THE",No description available,2/26/2025,1509218.3
DEPARTMENT OF LABOR,Solidarity Center,No description available,3/16/2025,1506775.0
DEPARTMENT OF STATE,NORWEGIAN REFUGEE COUNCIL (NRC) - STIFTELSEN FLYKTNINGHJELPE,No description available,2/26/2025,1500000.0
DEPARTMENT OF STATE,PAN AMERICAN DEVELOPMENT FOUNDATION,"THIS PROJECT WILL ENHANCE GUATEMALAN SECURITY FORCES' CAPABILITIES THROUGH IMPROVED ACADEMY TRAINING, HUMAN RESOURCES SUPPORT, AND LAW ENFORCEMENT DIVERSIFICATION EFFORTS.",2/26/2025,1500000.0
USAID,"SAVE THE CHILDREN FEDERATION, INC.",USAID'S WE'RE READING (SASA TUNASOMA!),3/1/2025,1500000.0
USAID,UNICEF,"THE GOAL OF THIS ARMENIA EMERGENCY PREPAREDNESS AND RESILIENCE BUILDING ACTIVITY (“ACTIVITY”) IS THAT CHILDREN, FAMILIES, AND LOCAL AND CENTRAL ACTORS ARE, AND DEMONSTRATE TO BE, ABLE TO REACT AND RESPOND TO EMERGENCIES.",3/1/2025,1500000.0
USAID,CARE,USAID'S WOMEN THRIVE IN BANGLADESH ACTIVITY.,3/1/2025,1500000.0
USAID,UNITED NATIONS DEVELOPMENT PROGRAMME,USAID STRENGTHENING VIETNAM’S ONE HEALTH IMPLEMENTATION AT THE NEXUS OF CLIMATE CHANGE AND ENVIRONMENT ACTIVITY,3/1/2025,1500000.0
USAID,CAMBODIAN LEAGUE FOR THE PROMOTION AND DEFENSE OF HUMAN RIGHTS,PROMOTION AND PROTECTION OF HUMAN RIGHTS IN CAMBODIA (PPHRC) ACTIVITY,3/1/2025,1500000.0
USAID,PARTNERSHIP FOR DEVELOPMENT ASSISTANCE IN THE PHILIPPINES INC.,STRENGTHENING LOCAL SYSTEMS AND PARTNERSHIP FOR MORE EFFECTIVE AND SUSTAINABLE COUNTER-TRAFFICKING IN PERSONS IN THE PHILIPPINES (STRENGTH CTIP-P),3/1/2025,1500000.0
USAID,ASOCIACION SEMILLA NUEVA,BIOFORTIFIED MAIZE: FARMING FOR NUTRITION ACTIVITY,3/1/2025,1500000.0
USAID,"WORLD WILDLIFE FUND, INC.","TO INCREASE ENVIRONMENTAL GOVERNANCE IN HONDURAS BY ADDRESSING KEY CORRUPTION NETWORKS AND RISKS RELATED TO WILDLIFE AND TIMBER TRAFFICKING, ILLEGAL LOGGING AND WILDFIRES, ADDRESSING UNDERLYING FACTORS THAT CONTRIBUTE TO SOCIAL CONFLICT AND DRIVE IRREGULAR MIGRATION.",3/1/2025,1500000.0
USAID,SI,"THIS AWARD WILL PROVIDE FINANCIAL SUPPORT TO SOLIDARITIES FOR A PROGRAM ENTITLED, “THE SHIFT BY HULO STRATEGIC HUMANITARIAN INITIATIVES FOR TRANSFORMATION” WORLDWIDE.",3/1/2025,1500000.0
USAID,CRS - USCCB,"IDA-FUNDED AWARD TO CRS TO SUPPORT AGRICULTURE, ERMS, AND DISASTER RISK REDUCTION IN NE NIGERIA. THE GOAL OF THE PROGRAM IS TO ENABLE CONFLICT-AFFECTED HOUSEHOLDS TO BE MORE SELF-RELIANT THROUGH THE REDUCTION OF VULNERABILITIES AND THE IMPROVEMENT OF COMMUNITY SUPPORT/COHESIVENESS AND SHOCK MANAGEMENT.",3/1/2025,1500000.0
DEPARTMENT OF STATE,KIND INC,TO PROTECT CHILDREN ON THE MOVE IN MEXICO AND STRENGTHEN MEXICAN INSTITUTIONS' CAPACITY TO MANAGE CHILD MIGRATION EFFECTIVELY USING A CHILD-CENTERED APPROACH.,2/26/2025,1500000.0
USAID,THE ADMINISTRATORS OF TULANE EDUCATIONAL FUND,"PROTECTING HIGHLY VULNERABLE CHILDREN-RESEARCH, MONITORING & QUALITY IMPROVEMENT ACTIVITY",3/10/2025,1500000.0
HOUSING AND URBAN DEVELOPMENT,Local Initiatives Support Corp,No description available,2/21/2025,1500000.0
